Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert
/de/2017_3/basel/740194,10121,9443,00:04:58,8329,"90,40 %","83,44 %","0,00 CHF"
/de/2017_1/kultur/739630,7492,7090,00:03:24,6684,"92,31 %","88,32 %","0,00 CHF"
/de/2017_3/basel/,7202,5283,00:01:03,383,"33,42 %","26,70 %","0,00 CHF"
/de/2017_3/schweiz/740240,5588,5234,00:04:29,4810,"91,14 %","85,58 %","0,00 CHF"
/de/2017_3/basel/740440,5116,4804,00:06:43,3550,"91,01 %","79,81 %","0,00 CHF"
/de/2017_3/basel/740307,4719,4413,00:02:48,3081,"89,00 %","69,97 %","0,00 CHF"
/de/2016_26/basel/740200,4539,4194,00:06:13,2599,"83,92 %","67,94 %","0,00 CHF"
/de/2017_3/sport/,3973,3184,00:01:16,212,"45,75 %","38,31 %","0,00 CHF"
/de/2017_3/schweiz/,2989,2331,00:01:04,103,"44,66 %","19,27 %","0,00 CHF"
/de/2017_3/basel/740060,2832,2673,00:02:06,2198,"87,26 %","77,40 %","0,00 CHF"
/de/2017_3/international/,2739,2029,00:01:04,112,"41,96 %","22,89 %","0,00 CHF"
/de/2017_1/kultur/739575,2585,2385,00:03:28,1910,"86,23 %","75,63 %","0,00 CHF"
/de/2017_3/kultur/,2351,1821,00:01:05,71,"33,80 %","24,29 %","0,00 CHF"
/de/2017_3/basel/740290,2265,2089,00:03:58,1297,"77,56 %","60,18 %","0,00 CHF"
/de/2017_3/leben/740359,2177,2046,00:04:28,1633,"91,37 %","80,62 %","0,00 CHF"
/de/2017_3/international/740285,2119,2001,00:04:49,1607,"90,54 %","80,04 %","0,00 CHF"
/de/2017_2/basel/739562,2092,1906,00:04:21,757,"69,09 %","49,14 %","0,00 CHF"
/de/2017_2/kultur/739840,2023,1879,00:02:48,1278,"86,54 %","69,90 %","0,00 CHF"
/de/2017_2/basel/739568,1720,1579,00:04:24,607,"84,02 %","59,24 %","0,00 CHF"
/de/2017_3/basel/740373,1692,1596,00:02:57,1425,"91,93 %","84,40 %","0,00 CHF"
/de/2017_2/kultur/739663,1552,1422,00:03:56,756,"85,05 %","63,92 %","0,00 CHF"
/de/2017_3/basel/740182,1494,1346,00:03:06,532,"69,92 %","48,59 %","0,00 CHF"
/omniticker/,1443,447,00:01:43,145,"40,69 %","13,17 %","0,00 CHF"
/de/2017_2/kultur/739662,1396,1161,00:03:52,801,"81,15 %","68,98 %","0,00 CHF"
/de/2017_2/leben/739526,1381,1304,00:02:58,516,"93,02 %","62,49 %","0,00 CHF"
/de/2017_3/sport/740375,1312,1175,00:03:03,93,"73,12 %","51,68 %","0,00 CHF"
/de/blogs/bildstoff/740241,1276,1168,00:03:07,475,"72,84 %","49,84 %","0,00 CHF"
/de/2017_2/basel/739711,1233,1101,00:02:33,442,"82,35 %","52,07 %","0,00 CHF"
/de/2017_3/kultur/740287,1224,1137,00:03:02,562,"86,30 %","65,03 %","0,00 CHF"
/de/2017_3/basel/740291,1199,1130,00:02:13,234,"69,23 %","41,87 %","0,00 CHF"
/de/2017_3/,1195,835,00:01:03,190,"34,74 %","31,38 %","0,00 CHF"
/de/2017_3/leben/,1157,967,00:01:10,21,"23,81 %","34,14 %","0,00 CHF"
/de/2017_3/schweiz/740074,1101,1013,00:04:35,350,"76,00 %","52,41 %","0,00 CHF"
/de/2017_3/schweiz/740126,983,920,00:03:17,523,"89,67 %","69,48 %","0,00 CHF"
/classifieds/view/1645/bauernhaus-im-sundgau-elsass-zu-verkaufen,973,565,00:00:52,40,"60,00 %","22,71 %","0,00 CHF"
/classifieds,944,642,00:01:16,302,"50,00 %","32,31 %","0,00 CHF"
/de/2017_3/basel/740279,941,842,00:03:30,480,"85,62 %","64,19 %","0,00 CHF"
/de/2017_3/basel/740557,904,829,00:01:55,66,"75,76 %","41,70 %","0,00 CHF"
/de/2017_3/basel/740280,858,809,00:02:36,494,"88,26 %","68,53 %","0,00 CHF"
/de/2017_3/basel/740279/Diagnose-Leukämie-–-ohne-Solidarität-kaum-Überlebenschancenhtm,827,780,00:02:08,754,"92,71 %","89,48 %","0,00 CHF"
/de/2017_3/schweiz/740096,815,768,00:02:36,496,"88,91 %","68,96 %","0,00 CHF"
/de/2017_2/basel/740043,737,704,00:03:02,65,"69,23 %","41,11 %","0,00 CHF"
/de/2017_1/schweiz/739248,735,652,00:04:35,481,"84,62 %","72,24 %","0,00 CHF"
/de/2017_3/international/740110,732,641,00:03:44,471,"89,60 %","68,44 %","0,00 CHF"
/de/2017_2/leben/739595,728,687,00:04:13,440,"91,59 %","74,04 %","0,00 CHF"
/de/2017_3/sport/740078,674,624,00:02:41,184,"64,13 %","49,11 %","0,00 CHF"
/de/blogs/bildstoff/739828,647,627,00:02:42,128,"88,28 %","52,55 %","0,00 CHF"
/de/2017_3/sport/740469,644,612,00:03:10,60,"78,33 %","51,55 %","0,00 CHF"
/de/2017_3/kultur/740163,626,581,00:02:31,282,"80,50 %","54,31 %","0,00 CHF"
/de/2017_2/basel/739568/Zehn-Schritte-zu-weniger-Abfall-–-und-wo-man-sie-(bald)-anwenden-kannhtm,623,575,00:03:00,534,"85,02 %","82,02 %","0,00 CHF"
/de/2017_3/kultur/740178,621,589,00:02:58,303,"89,77 %","61,84 %","0,00 CHF"
/de/2017_3/international/740153,620,576,00:02:45,303,"85,15 %","62,74 %","0,00 CHF"
/de/blogs/bildstoff/740250,605,561,00:02:59,131,"80,15 %","54,05 %","0,00 CHF"
/de/2017_3/basel/740127,583,549,00:03:43,58,"68,97 %","51,46 %","0,00 CHF"
/de/blogs/,581,405,00:00:43,43,"23,26 %","33,05 %","0,00 CHF"
/classifieds/view/1639/originelle-3-zimmer-wohnung-im-kleinbasel,580,346,00:01:01,22,"59,09 %","21,03 %","0,00 CHF"
/de/2017_2/international/740025,579,519,00:03:16,41,"73,17 %","38,17 %","0,00 CHF"
/de/blogs/Spieltrieb/739465,577,538,00:03:17,274,"83,94 %","66,38 %","0,00 CHF"
/de/2017_3/kultur/740451,572,541,00:01:59,347,"90,20 %","70,63 %","0,00 CHF"
/de/2017_3/sport/740184,543,501,00:03:02,108,"73,15 %","59,48 %","0,00 CHF"
/de/2017_3/basel/740133,539,509,00:01:55,145,"73,10 %","43,04 %","0,00 CHF"
/de/2017_2/basel/739636,534,478,00:04:02,168,"69,64 %","53,18 %","0,00 CHF"
/de/2017_3/kultur/740393,508,471,00:04:47,141,"87,23 %","53,35 %","0,00 CHF"
/de/2017_3/kultur/740141,507,469,00:04:10,154,"79,87 %","55,62 %","0,00 CHF"
/de/2017_2/basel/739642,504,465,00:03:24,85,"57,65 %","42,66 %","0,00 CHF"
/de/partner/article/709314,495,468,00:02:23,446,"64,13 %","62,02 %","0,00 CHF"
/de/2017_3/kultur/740086,489,455,00:03:52,138,"68,12 %","55,01 %","0,00 CHF"
/de/blogs/bildstoff/740446,489,446,00:02:09,74,"68,92 %","37,01 %","0,00 CHF"
/de/2017_2/kultur/739662/Sie-haben-es-in-der-Hand-Welche-Newcomer-dürfen-an-der-BScene-17-spielenhtm,466,402,00:02:26,379,"85,75 %","82,83 %","0,00 CHF"
/de/2017_3/kultur/740356,460,436,00:02:35,242,"88,84 %","68,26 %","0,00 CHF"
/de/2011_43/basel/,453,225,00:01:56,219,"14,16 %","15,89 %","0,00 CHF"
/de/2014_29/dialog/,443,80,00:04:39,76,"14,47 %","12,19 %","0,00 CHF"
/de/2015_02/basel/677635,439,388,00:04:27,367,"85,29 %","81,32 %","0,00 CHF"
/de/2017_3/dialog/,434,191,00:05:18,45,"17,78 %","22,12 %","0,00 CHF"
/de/2017_3/kultur/740489,433,380,00:03:56,146,"84,93 %","56,58 %","0,00 CHF"
/de/2016_21/international/719786,432,397,00:04:37,396,"84,34 %","84,72 %","0,00 CHF"
/de/2017_2/basel/739842,429,409,00:03:07,103,"80,58 %","49,65 %","0,00 CHF"
/de/2017_3/basel/740247,425,349,00:03:57,83,"69,88 %","42,12 %","0,00 CHF"
/de/2017_2/basel/739822,414,377,00:03:03,97,"69,07 %","42,03 %","0,00 CHF"
/de/2017_2/basel/739562/Bloss-keine-Verpackung-–-Abfallvermeiderin-Carole-Schante-will-«Zero-Waste»htm,409,378,00:04:01,332,"85,24 %","81,42 %","0,00 CHF"
/de/2017_3/basel/740437,408,379,00:01:53,95,"67,37 %","33,82 %","0,00 CHF"
/de/2017_3/basel/740290/Streifzüge-durch-die-Basler-Nachthtm,391,334,00:02:03,320,"61,25 %","56,78 %","0,00 CHF"
/de/2017_3/basel/740441,375,336,00:02:15,87,"55,17 %","41,87 %","0,00 CHF"
/de/2017_3/schweiz/740240/Schändlich-verschwendetes-Potenzialhtm,370,350,00:02:58,342,"92,98 %","91,35 %","0,00 CHF"
/de/2017_3/basel/740333,365,334,00:02:41,45,"62,22 %","36,71 %","0,00 CHF"
/de/2017_3/sport/740352,363,346,00:02:17,40,"75,00 %","47,38 %","0,00 CHF"
/de/blogs/360grad/740377,359,344,00:02:16,213,"92,02 %","72,14 %","0,00 CHF"
/de/2017_3/leben/740413,353,327,00:03:02,49,"83,67 %","48,73 %","0,00 CHF"
/classifieds/view/1630/5-5-zimmer-wohnung-in-kleinbasel,346,245,00:00:58,13,"69,23 %","19,08 %","0,00 CHF"
/de/2016_10/kultur/713193,344,330,00:04:26,329,"95,74 %","94,77 %","0,00 CHF"
/de/2012_05/basel/385106,341,272,00:01:43,260,"55,77 %","57,48 %","0,00 CHF"
/de/2017_2/basel/739537,334,291,00:03:05,163,"88,34 %","70,66 %","0,00 CHF"
/wetter,328,312,00:02:05,36,"55,56 %","70,73 %","0,00 CHF"
/de/2017_3/kultur/740287/Einhorn-Reiten-oder-Menschen-umarmen-Sieben-Tipps-für-die-Museumsnachthtm,324,303,00:03:41,288,"91,67 %","87,96 %","0,00 CHF"
/de/2017_3/schweiz/740278,320,297,00:02:18,39,"74,36 %","38,44 %","0,00 CHF"
/de/2017_1/international/739238,318,289,00:07:02,286,"89,16 %","87,74 %","0,00 CHF"
/de/2017_2/kultur/739663/Herr-Massmünster-was-macht-die-Nacht-in-Basel-aushtm,314,300,00:02:43,292,"91,78 %","89,81 %","0,00 CHF"
/de/2017_3/kultur/740295,313,291,00:04:17,135,"85,19 %","60,06 %","0,00 CHF"
/de/2013_40/kultur/584941,312,273,00:02:53,272,"87,13 %","85,90 %","0,00 CHF"
/de/2017_3/basel/740286,312,290,00:02:57,51,"84,31 %","39,42 %","0,00 CHF"
/de/2017_2/leben/739808,308,285,00:03:13,116,"87,93 %","60,39 %","0,00 CHF"
/de/2017_3/basel/740228,304,285,00:01:55,42,"73,81 %","47,37 %","0,00 CHF"
/de/2017_3/schweiz/740430,295,282,00:02:05,19,"63,16 %","45,42 %","0,00 CHF"
/de/2014_28/basel/664044,284,254,00:03:26,241,"85,89 %","84,15 %","0,00 CHF"
/de/2011_43/schweiz/,281,141,00:00:21,30,"0,00 %","26,33 %","0,00 CHF"
/de/2011_43/sport/,281,141,00:00:28,138,"0,72 %","3,56 %","0,00 CHF"
/de/2011_43/international/,280,140,00:00:22,135,"0,00 %","23,57 %","0,00 CHF"
/de/2011_43/kultur/,280,140,00:00:25,135,"0,00 %","9,29 %","0,00 CHF"
/de/2016_40/leben/,279,140,00:00:48,35,"0,00 %","45,88 %","0,00 CHF"
/de/2017_3/international/740521,278,262,00:02:01,13,"76,92 %","37,05 %","0,00 CHF"
/de/2017_2/leben/739744,267,245,00:02:26,43,"76,74 %","46,44 %","0,00 CHF"
/de/2017_3/sport/740226,264,252,00:01:18,9,"66,67 %","39,77 %","0,00 CHF"
/de/2017_3/basel/740188,261,245,00:01:41,38,"76,32 %","39,08 %","0,00 CHF"
/de/2017_3/international/740311,260,249,00:03:05,30,"86,67 %","36,54 %","0,00 CHF"
/de/2017_2/schweiz/739967,259,220,00:03:13,11,"72,73 %","29,34 %","0,00 CHF"
/classifieds/view/1647/wer-baut-braucht-einen-guten-plan,253,209,00:01:09,18,"72,22 %","35,18 %","0,00 CHF"
/de/2017_3/basel/740440/«Ich-musste-hier-einiges-aushalten»htm,249,236,00:06:11,218,"89,45 %","87,15 %","0,00 CHF"
/de/2016_43/basel/,237,172,00:01:05,158,"19,62 %","24,05 %","0,00 CHF"
/de/2017_3/schweiz/740240/schaendlich-verschwendetes-potenzialhtm,237,224,00:03:41,224,"91,52 %","89,87 %","0,00 CHF"
/de/2017_3/schweiz/740054,236,212,00:02:50,16,"62,50 %","36,44 %","0,00 CHF"
/de/2017_3/basel/740279/,235,218,00:01:56,210,"92,38 %","91,06 %","0,00 CHF"
/de/2013_51/kultur/,231,2,00:10:50,2,"0,00 %","0,87 %","0,00 CHF"
/de/2017_3/sport/740338,228,220,00:02:41,18,"61,11 %","41,67 %","0,00 CHF"
/classifieds/view/1638/laax-wohnung-ab-sofort-wochenweise-zu-vermieten-bis-50-rabatt,227,189,00:01:12,11,"72,73 %","36,56 %","0,00 CHF"
/de/2017_2/kultur/739517,225,208,00:03:08,53,"83,02 %","52,00 %","0,00 CHF"
/de/2017_3/basel/740341,225,212,00:04:18,11,"81,82 %","47,56 %","0,00 CHF"
/de/2015_50/sport/705957,222,211,00:07:54,211,"95,26 %","95,05 %","0,00 CHF"
