,article_id,published,title,type,url
0,119508.0,2011-12-01,RSS-Feeds,static_page,http://www.tageswoche.ch/de/pages/about/119508/rss-feeds.htm
0,119991.0,2011-12-02,Das sind die Reichsten der Region,news,http://www.tageswoche.ch/de/2011_48/basel/119991/das-sind-die-reichsten-der-region.htm
0,120062.0,2011-12-02,In Kontaktbar in Liestal acht Frauen und Inhaber verzeigt,newswire,http://www.tageswoche.ch/de/2011_48/basel/120062/in-kontaktbar-in-liestal-acht-frauen-und-inhaber-verzeigt.htm
0,120855.0,2011-12-05,Scientology-nahe Gruppierung ködert Leute am Rümelinsplatz,news,http://www.tageswoche.ch/de/2011_48/basel/120855/scientology-nahe-gruppierung-koedert-leute-am-ruemelinsplatz.htm
0,120857.0,2011-12-05,Die Vorteile eines einzigen Museumspasses,news,http://www.tageswoche.ch/de/2011_48/kultur/120857/die-vorteile-eines-einzigen-museumspasses.htm
0,120881.0,2011-12-09,«Arrogant? Das ist doch nur die Wahrheit»,news,http://www.tageswoche.ch/de/2011_49/basel/120881/arrogant-das-ist-doch-nur-die-wahrheit.htm
0,121569.0,2011-12-09,Wie sich Profi-Boxer durchschlagen,news,http://www.tageswoche.ch/de/2011_49/sport/121569/wie-sich-profi-boxer-durchschlagen.htm
0,121589.0,2011-12-06,Tumor: Guy Morin muss operiert werden,newswire,http://www.tageswoche.ch/de/2011_48/basel/121589/tumor-guy-morin-muss-operiert-werden.htm
0,122196.0,2011-12-09,Wochenstopp: Cabaret Bizarre,news,http://www.tageswoche.ch/de/2011_49/events/122196/wochenstopp-cabaret-bizarre.htm
0,122210.0,2011-12-08,Die beste Pianistin der Welt zu Gast in Basel,news,http://www.tageswoche.ch/de/2011_48/kultur/122210/die-beste-pianistin-der-welt-zu-gast-in-basel.htm
0,122239.0,2011-12-08,Der Klügere reist ohne elektronisches Billett,news,http://www.tageswoche.ch/de/2011_48/schweiz/122239/der-kluegere-reist-ohne-elektronisches-billett.htm
0,122258.0,2011-12-16,«Die Leichen gehören zu meinem Handwerk» ,news,http://www.tageswoche.ch/de/2011_50/basel/122258/die-leichen-gehoeren-zu-meinem-handwerk.htm
0,122285.0,2011-12-08,Auf dem Eisbrecher «Ymer» (1),blog,http://www.tageswoche.ch/de/blogs/bildstoff/122285/auf-dem-eisbrecher-ymer-1.htm
0,122983.0,2011-12-16,Willy und die pensionierten Seemänner,news,http://www.tageswoche.ch/de/2011_50/basel/122983/willy-und-die-pensionierten-seemaenner.htm
0,123027.0,2011-12-16,"Mangelnde Kapazitäten, bissige Hunde – für Asylsuchende bleibts eng",news,http://www.tageswoche.ch/de/2011_50/basel/123027/mangelnde-kapazitaeten-bissige-hunde-fuer-asylsuchende-bleibts-eng.htm
0,123045.0,2011-12-12,Moritz Suters Abschiedsbrief,news,http://www.tageswoche.ch/de/2011_49/basel/123045/moritz-suters-abschiedsbrief.htm
0,124090.0,2011-12-13,Die Nacht der Langen Messer – eine kleine Kulturgeschichte,news,http://www.tageswoche.ch/de/2011_49/schweiz/124090/die-nacht-der-langen-messer-eine-kleine-kulturgeschichte.htm
0,129603.0,2011-12-16,Gefordert: Roland Burg,news,http://www.tageswoche.ch/de/2011_50/basel/129603/gefordert-roland-burg.htm
0,135698.0,2011-12-15,Philipp Egli wird neues Mitglied der Mummenschanz-Truppe,newswire,http://www.tageswoche.ch/de/2011_49/kultur/135698/philipp-egli-wird-neues-mitglied-der-mummenschanz-truppe.htm
0,139821.0,2011-12-22,Die Sarasins – Aufstieg einer Dynastie,news,http://www.tageswoche.ch/de/2011_51/basel/139821/die-sarasins-aufstieg-einer-dynastie.htm
0,139822.0,2011-12-22,Die Hugenotten: Innovative Asylsuchende,news,http://www.tageswoche.ch/de/2011_51/basel/139822/die-hugenotten-innovative-asylsuchende.htm
