Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert
/de/2017_4/schweiz/740748,8037,7619,00:02:32,7377,"85,10 %","82,82 %","0,00 CHF"
/de/2017_4/basel/,7150,5040,00:01:01,351,"36,75 %","24,55 %","0,00 CHF"
/de/2017_4/basel/740763,6955,6553,00:03:04,4832,"88,82 %","72,93 %","0,00 CHF"
/de/2017_3/basel/740339,6337,5905,00:04:13,4276,"86,44 %","72,16 %","0,00 CHF"
/de/2017_4/sport/,4413,3444,00:01:04,201,"38,31 %","31,97 %","0,00 CHF"
/de/blogs/bildstoff/740250,3575,3293,00:02:36,3036,"93,08 %","89,40 %","0,00 CHF"
/de/2017_3/leben/740407,3223,3051,00:03:26,2812,"91,75 %","87,28 %","0,00 CHF"
/de/2017_3/basel/740481,3188,2956,00:04:03,1907,"78,19 %","62,55 %","0,00 CHF"
/de/2017_4/schweiz/,3122,2292,00:00:51,72,"38,89 %","14,67 %","0,00 CHF"
/de/2017_4/international/,3076,2139,00:01:08,113,"31,86 %","19,57 %","0,00 CHF"
/de/2017_4/sport/740799,3064,2867,00:03:14,1254,"90,27 %","65,24 %","0,00 CHF"
/de/2017_4/basel/741051,3022,2780,00:04:05,1609,"87,57 %","64,69 %","0,00 CHF"
/de/2017_3/international/740483,2997,2662,00:07:01,1757,"89,19 %","72,57 %","0,00 CHF"
/de/2017_4/kultur/,2325,1818,00:01:10,65,"40,00 %","23,87 %","0,00 CHF"
/de/2017_4/basel/740976,2253,2021,00:02:46,543,"81,22 %","46,78 %","0,00 CHF"
/de/2017_3/kultur/740404,2151,1955,00:03:53,810,"73,33 %","55,23 %","0,00 CHF"
/de/2017_4/sport/740701,2001,1952,00:04:01,1476,"96,75 %","85,76 %","0,00 CHF"
/de/2017_4/basel/740766,1948,1851,00:04:30,1087,"87,12 %","67,56 %","0,00 CHF"
/de/2017_4/sport/740862,1921,1736,00:04:06,352,"79,83 %","57,37 %","0,00 CHF"
/de/2017_3/basel/740452,1886,1766,00:03:41,1317,"87,47 %","73,75 %","0,00 CHF"
/de/2017_4/basel/740774,1866,1753,00:03:05,621,"73,11 %","49,30 %","0,00 CHF"
/de/2017_4/basel/741040,1846,1607,00:04:56,680,"62,65 %","48,21 %","0,00 CHF"
/de/2017_4/basel/740730,1792,1683,00:01:47,747,"76,71 %","59,93 %","0,00 CHF"
/de/2017_4/basel/741074,1769,1656,00:03:43,954,"80,50 %","62,75 %","0,00 CHF"
/de/2017_4/sport/741071,1641,1548,00:04:08,1276,"90,52 %","82,08 %","0,00 CHF"
/omniticker/,1521,430,00:01:43,171,"29,24 %","11,77 %","0,00 CHF"
/de/2017_4/sport/741196,1517,1404,00:04:49,1013,"90,62 %","77,32 %","0,00 CHF"
/de/2017_4/kultur/740985,1497,1417,00:03:39,1019,"87,34 %","75,95 %","0,00 CHF"
/de/2017_4/basel/740930,1419,1296,00:05:21,655,"81,68 %","60,11 %","0,00 CHF"
/de/2017_3/basel/740465,1401,1273,00:03:33,454,"80,62 %","52,18 %","0,00 CHF"
/de/2017_4/sport/741133,1364,1240,00:03:37,334,"80,84 %","60,85 %","0,00 CHF"
/de/2017_4/basel/740663,1260,1152,00:02:13,392,"63,52 %","45,32 %","0,00 CHF"
/de/2017_3/kultur/740418,1243,1180,00:03:01,739,"89,17 %","71,44 %","0,00 CHF"
/de/2017_4/sport/741068,1216,1124,00:03:58,533,"88,37 %","64,72 %","0,00 CHF"
/de/2017_4/leben/,1200,967,00:01:27,42,"26,19 %","34,92 %","0,00 CHF"
/de/2017_4/basel/740765,1111,1008,00:03:16,290,"74,83 %","46,89 %","0,00 CHF"
/de/2017_4/,1102,752,00:01:29,193,"31,61 %","31,03 %","0,00 CHF"
/de/2017_4/basel/741061,1049,976,00:02:14,178,"60,67 %","38,23 %","0,00 CHF"
/de/2017_4/leben/740929,1003,896,00:01:58,289,"82,35 %","46,96 %","0,00 CHF"
/de/2017_3/schweiz/740240,925,849,00:03:28,592,"89,53 %","70,05 %","0,00 CHF"
/classifieds,919,649,00:01:27,328,"57,93 %","37,98 %","0,00 CHF"
/de/2017_4/sport/740964,889,820,00:03:30,283,"77,03 %","56,47 %","0,00 CHF"
/de/2014_47/sport/673598,844,794,00:04:22,791,"91,15 %","90,64 %","0,00 CHF"
/de/2017_4/sport/740861,833,789,00:01:45,164,"84,15 %","46,94 %","0,00 CHF"
/de/2017_4/basel/741074/Reiseführer-durchs-versteckte-Basel-Teil-2htm,821,720,00:01:38,704,"80,11 %","76,49 %","0,00 CHF"
/de/2017_4/sport/740859,782,728,00:03:54,497,"87,53 %","73,40 %","0,00 CHF"
/de/2017_4/basel/740877,725,688,00:02:34,105,"78,10 %","40,28 %","0,00 CHF"
/de/2017_4/basel/740957,708,627,00:02:29,200,"59,50 %","38,70 %","0,00 CHF"
/de/2015_50/sport/705957,676,628,00:03:45,627,"93,30 %","92,60 %","0,00 CHF"
/de/2017_4/leben/740760,667,622,00:03:48,180,"75,56 %","48,73 %","0,00 CHF"
/de/2017_4/sport/740757,667,628,00:04:49,126,"72,22 %","55,47 %","0,00 CHF"
/de/2017_3/international/740687,650,601,00:04:05,187,"87,17 %","58,00 %","0,00 CHF"
/de/2017_4/sport/740934,623,579,00:03:09,127,"83,46 %","55,54 %","0,00 CHF"
/de/2017_4/international/740681,613,512,00:03:44,76,"72,37 %","38,99 %","0,00 CHF"
/de/2017_4/basel/741016,606,528,00:02:24,326,"84,97 %","60,07 %","0,00 CHF"
/de/blogs/,567,392,00:00:35,54,"14,81 %","38,62 %","0,00 CHF"
/de/2017_3/leben/740359,550,514,00:03:09,239,"88,28 %","63,82 %","0,00 CHF"
/de/2014_29/dialog/,546,76,00:04:24,72,"20,83 %","10,44 %","0,00 CHF"
/de/2017_4/basel/740921,536,474,00:02:16,30,"66,67 %","36,01 %","0,00 CHF"
