,article_id,published,type,Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert,section
0,724751.0,2016-07-15,news,international/724751,30472.0,28207.0,00:05:20,26107.0,"89,41 %","84,49 %","0,00 CHF",international
1,725295.0,2016-07-22,news,basel/725295,18516.0,17199.0,00:04:07,14976.0,"89,02 %","81,48 %","0,00 CHF",basel
2,724533.0,2016-07-13,news,basel/724533,13785.0,12983.0,00:05:56,10961.0,"90,72 %","82,55 %","0,00 CHF",basel
3,725275.0,2016-07-26,news,basel/725275,11986.0,11184.0,00:05:10,10453.0,"91,11 %","86,72 %","0,00 CHF",basel
4,724826.0,2016-07-16,news,international/724826,10741.0,10061.0,00:03:59,8923.0,"90,54 %","83,59 %","0,00 CHF",international
5,725703.0,2016-07-29,news,basel/725703,10112.0,9471.0,00:06:51,7948.0,"91,04 %","83,30 %","0,00 CHF",basel
6,723646.0,2016-07-01,news,kultur/723646,8810.0,8335.0,00:03:04,6546.0,"91,19 %","78,54 %","0,00 CHF",kultur
7,723564.0,2016-07-01,news,basel/723564,7870.0,7498.0,00:02:37,6278.0,"89,73 %","80,38 %","0,00 CHF",basel
8,725129.0,2016-07-20,news,basel/725129,7662.0,7183.0,00:02:55,6144.0,"90,77 %","81,04 %","0,00 CHF",basel
9,724790.0,2016-07-15,newswire,schweiz/724790,7365.0,6844.0,00:02:20,5564.0,"86,92 %","75,93 %","0,00 CHF",schweiz
10,724127.0,2016-07-08,news,basel/724127,6546.0,6114.0,00:03:24,4130.0,"87,07 %","67,81 %","0,00 CHF",basel
11,724625.0,2016-07-20,news,sport/724625,6309.0,5937.0,00:05:05,4305.0,"91,01 %","78,65 %","0,00 CHF",sport
12,724047.0,2016-07-07,news,basel/724047,5788.0,5244.0,00:05:21,3704.0,"88,44 %","73,91 %","0,00 CHF",basel
13,724825.0,2016-07-16,news,international/724825,5682.0,5261.0,00:04:02,4567.0,"89,18 %","82,56 %","0,00 CHF",international
14,725305.0,2016-07-24,news,basel/725305,5369.0,4999.0,00:03:16,4098.0,"86,46 %","75,62 %","0,00 CHF",basel
15,723504.0,2016-07-03,news,international/723504,4776.0,4542.0,00:02:43,3647.0,"91,31 %","79,08 %","0,00 CHF",international
16,725227.0,2016-07-21,news,international/725227,4724.0,4410.0,00:04:30,3631.0,"89,78 %","80,84 %","0,00 CHF",international
17,725831.0,2016-07-31,news,basel/725831,4107.0,3897.0,00:03:22,3450.0,"89,01 %","81,50 %","0,00 CHF",basel
18,724381.0,2016-07-11,news,sport/724381,3990.0,3638.0,00:03:53,1690.0,"85,62 %","65,86 %","0,00 CHF",sport
19,725725.0,2016-07-28,news,basel/725725,3742.0,3537.0,00:02:37,2544.0,"87,30 %","71,11 %","0,00 CHF",basel
20,723559.0,2016-07-04,news,basel/723559,3701.0,3442.0,00:04:11,2641.0,"88,60 %","75,09 %","0,00 CHF",basel
21,724763.0,2016-07-18,news,basel/724763,3633.0,3334.0,00:05:46,1608.0,"84,76 %","60,78 %","0,00 CHF",basel
22,724693.0,2016-07-14,news,sport/724693,3562.0,3353.0,00:02:26,1996.0,"84,42 %","67,74 %","0,00 CHF",sport
23,724978.0,2016-07-19,news,sport/724978,3489.0,3260.0,00:04:10,1819.0,"85,38 %","66,47 %","0,00 CHF",sport
24,724718.0,2016-07-15,news,basel/724718,3430.0,3226.0,00:02:54,1968.0,"85,06 %","63,91 %","0,00 CHF",basel
25,724732.0,2016-07-15,news,sport/724732,3383.0,3167.0,00:03:57,1822.0,"88,91 %","69,38 %","0,00 CHF",sport
26,725019.0,2016-07-19,newswire,schweiz/725019,3375.0,3171.0,00:03:37,3048.0,"91,24 %","88,80 %","0,00 CHF",schweiz
27,724624.0,2016-07-13,news,sport/724624,3288.0,3095.0,00:03:39,1472.0,"87,84 %","66,03 %","0,00 CHF",sport
28,725198.0,2016-07-21,news,basel/725198,3245.0,2984.0,00:03:12,2404.0,"88,19 %","77,10 %","0,00 CHF",basel
29,725815.0,2016-07-29,news,sport/725815,3222.0,3050.0,00:04:02,1813.0,"90,07 %","74,86 %","0,00 CHF",sport
30,723452.0,2016-06-29,news,sport/723452,3146.0,2976.0,00:06:46,2548.0,"92,46 %","86,05 %","0,00 CHF",sport
31,725385.0,2016-07-24,news,sport/725385,3104.0,2633.0,00:05:05,1100.0,"85,00 %","62,27 %","0,00 CHF",sport
32,724611.0,2016-07-14,news,leben/724611,3103.0,2799.0,00:04:38,2253.0,"89,44 %","79,47 %","0,00 CHF",leben
33,725308.0,2016-07-22,news,sport/725308,3086.0,2865.0,00:04:59,1538.0,"83,22 %","67,34 %","0,00 CHF",sport
34,723566.0,2016-07-03,news,basel/723566,2889.0,2706.0,00:04:27,1270.0,"86,14 %","61,16 %","0,00 CHF",basel
35,724891.0,2016-07-17,news,sport/724891,2880.0,2626.0,00:06:53,920.0,"77,28 %","62,88 %","0,00 CHF",sport
36,723861.0,2016-07-04,news,sport/723861,2839.0,2683.0,00:02:52,1393.0,"87,58 %","68,55 %","0,00 CHF",sport
37,724401.0,2016-07-11,news,basel/724401,2832.0,2702.0,00:04:18,1414.0,"87,41 %","61,94 %","0,00 CHF",basel
38,723567.0,2016-07-02,news,basel/723567,2824.0,2668.0,00:03:54,2173.0,"89,65 %","79,99 %","0,00 CHF",basel
39,725224.0,2016-07-21,news,sport/725224,2815.0,2671.0,00:03:50,1711.0,"89,19 %","72,50 %","0,00 CHF",sport
