,topic_id,count,pageviews,average,median,min,max,level0,level1,level2,level3,title
64,1029,48,106325,2215.1041666666665,1572.0,309,16369,Politik,Abstimmungen & Wahlen,Wahlen BS 2016,Grossratswahlen,Grossratswahlen
65,605,47,33855,720.3191489361702,454.0,48,4198,_Textformen & feste Rubriken,Kultwerk,,,Kultwerk
66,328,47,65112,1385.3617021276596,145.0,30,14179,Politik,_Organe,Nationalrat,,Nationalrat
67,135,47,54930,1168.723404255319,668.0,61,5573,Kultur,Theater,,,Theater
68,38,46,36755,799.0217391304348,576.5,151,5573,Veranstaltung,Theater Veranstaltung,,,Theater Veranstaltung
69,600,46,40782,886.5652173913044,430.0,66,12908,_Textformen & feste Rubriken,Wochenendlich,,,Wochenendlich
70,175,46,41464,901.3913043478261,544.0,33,4931,Lifestyle,Reisen,,,Reisen
71,799,46,80496,1749.9130434782608,1174.0,54,6863,Gesellschaft,Wohnen,,,Wohnen
72,811,45,46926,1042.8,776.0,112,3653,_Textformen & feste Rubriken,Georg Kreis,,,Georg Kreis
73,198,45,87446,1943.2444444444445,1080.0,48,10989,Gesellschaft,Religion,,,Religion
74,174,44,49418,1123.1363636363637,317.5,27,25447,_Länder,Europa,Deutschland,,Deutschland
75,289,43,68669,1596.953488372093,969.0,64,7306,Politik,_Themen,Migration,Integration,Integration
76,475,42,70065,1668.2142857142858,931.5,25,11979,Wirtschaft,Tourismus,,,Tourismus
77,819,41,44563,1086.9024390243903,687.0,100,6055,Theater Basel,,,,Theater Basel
78,1000,41,139201,3395.1463414634145,1411.0,94,38175,Lokales,Fasnacht,Fasnacht Basler 2016,,Fasnacht Basler 2016
79,6,41,62437,1522.8536585365853,150.0,27,30947,_Länder,Europa,,,Europa
80,794,41,33086,806.9756097560976,366.0,86,11060,Zeitmaschine,,,,Zeitmaschine
81,296,40,38873,971.825,303.5,31,14358,_Länder,Europa,Grossbritannien,,Grossbritannien
82,225,40,28901,722.525,439.0,53,4831,_Länder,Europa,Italien,,Italien
83,848,39,25687,658.6410256410256,184.0,35,3717,Forschung,,,,Forschung
84,402,39,71866,1842.7179487179487,1590.0,163,10155,Sport,Fussball,Young Boys Bern,,Young Boys Bern
85,41,38,42881,1128.4473684210527,812.5,107,4142,Veranstaltung,Musik Veranstaltung,,,Musik Veranstaltung
86,758,38,32453,854.0263157894736,419.5,30,5621,Digital,Games,,,Games
87,101,38,38255,1006.7105263157895,372.5,55,11818,Region der Schweiz,Kanton Basel-Landschaft,,,Kanton Basel-Landschaft
88,1018,37,17881,483.27027027027026,214.0,25,2881,Sport,Olympische Spiele,Olympische Spiele 2016,,Olympische Spiele 2016
89,772,37,79508,2148.864864864865,1338.0,88,8423,_Quartiere,Kleinbasel,,,Kleinbasel
90,168,37,19012,513.8378378378378,320.0,29,2275,Umwelt & Natur,Tiere,,,Tiere
91,770,37,95436,2579.3513513513512,1689.0,194,25447,_Quartiere,,,,_Quartiere
92,1042,37,82362,2226.0,1752.0,336,16369,Politik,Abstimmungen & Wahlen,Wahlen BS 2016,Wahlumfrage,Wahlumfrage
93,240,37,56829,1535.918918918919,900.0,33,6627,Lifestyle,Konsum,,,Konsum
94,418,37,59357,1604.2432432432433,860.0,199,10927,Bildung,Schule,,,Schule
95,435,36,53983,1499.5277777777778,688.5,42,12608,Lifestyle,Ernährung,,,Ernährung
96,782,36,62937,1748.25,1515.5,127,8107,Kultur,Museen,Kunstmuseum,,Kunstmuseum
97,456,36,27062,751.7222222222222,374.0,39,3459,Energie,Atomkraft,,,Atomkraft
98,1003,35,106660,3047.4285714285716,1621.0,26,37126,Politik,Abstimmungen & Wahlen,Abstimmungen 28. Februar 2016,Durchsetzungsinitiative,Durchsetzungsinitiative
99,348,35,49020,1400.5714285714287,899.0,82,7387,Bildung,Uni Basel,,,Uni Basel
100,784,34,56767,1669.6176470588234,1374.5,365,5605,Kultur,Popkultur Basel,,,Popkultur Basel
101,237,34,41003,1205.9705882352941,986.0,123,4087,Verkehr,Öffentlicher Verkehr,BVB,,BVB
102,153,33,22836,692.0,237.0,26,8632,Wirtschaft,Banken,,,Banken
103,181,33,56029,1697.8484848484848,1275.0,114,11060,Politik,_Parteien,SP,,SP
104,204,32,8780,274.375,134.0,33,2475,Politik,_Organe,Landrat BL,,Landrat BL
105,278,32,31762,992.5625,791.5,22,3397,Wirtschaft,Pharmaindustrie,,,Pharmaindustrie
106,249,31,30528,984.7741935483871,296.0,49,8632,Wirtschaft,Finanzwirtschaft,,,Finanzwirtschaft
107,9,31,41697,1345.0645161290322,1062.0,166,5209,Veranstaltung,,,,Veranstaltung
108,235,30,31095,1036.5,285.0,53,7135,Verkehr,Öffentlicher Verkehr,SBB,,SBB
109,42,30,43538,1451.2666666666667,586.5,180,11183,Veranstaltung,Konzert Veranstaltung,,,Konzert Veranstaltung
110,410,30,41200,1373.3333333333333,802.5,59,4979,Gesellschaft,Überwachung,,,Überwachung
111,507,30,30072,1002.4,731.0,60,4131,Gesellschaft,Familie,,,Familie
112,205,30,28815,960.5,359.5,37,7158,_Länder,Europa,Griechenland,,Griechenland
113,407,30,38420,1280.6666666666667,1288.5,40,3573,Sport,Fussball,Grasshoppers Zürich,,Grasshoppers Zürich
114,611,30,50800,1693.3333333333333,811.0,83,18345,Medien,Fernsehen,,,Fernsehen
115,329,30,7023,234.1,121.0,30,1333,Politik,_Organe,Ständerat,,Ständerat
116,232,29,25412,876.2758620689655,211.0,24,7540,_Länder,Europa,Russland,,Russland
117,626,29,40680,1402.7586206896551,409.0,56,8987,Unglücksfälle und Verbrechen,Kriminalität,,,Kriminalität
118,637,29,55878,1926.8275862068965,1412.0,105,14934,Sport,Fussball,Schweizer Cup,,Schweizer Cup
119,593,29,83051,2863.8275862068967,1971.0,93,11251,_Personen,Baschi Dürr,,,Baschi Dürr
120,494,28,31783,1135.107142857143,683.5,180,5209,Lokales,Kaserne Basel,,,Kaserne Basel
121,199,28,82645,2951.6071428571427,1996.5,87,9825,Kultur,Clubszene,,,Clubszene
122,930,28,33016,1179.142857142857,688.0,223,8822,Kultur,Nachtgang,,,Nachtgang
123,403,28,29072,1038.2857142857142,874.5,105,2963,Sport,Fussball,FC Zürich,,FC Zürich
124,1008,28,44677,1595.607142857143,824.0,72,8357,Wirtschaft,Steuern,Unternehmenssteuer-Reform III,,Unternehmenssteuer-Reform III
125,424,27,4843,179.37037037037038,159.0,22,516,Sport,Ski alpin,,,Ski alpin
126,142,27,50809,1881.8148148148148,1123.0,296,8754,Lokales,,,,Lokales
127,1023,27,28129,1041.8148148148148,504.0,53,6429,Politik,Europäische Union,Brexit,,Brexit
128,588,27,34839,1290.3333333333333,951.0,171,5454,Kultur,Tanz,,,Tanz
129,735,27,36127,1338.037037037037,700.0,154,14175,Kultur,Kulturförderung,,,Kulturförderung
130,442,27,38474,1424.962962962963,650.0,31,8874,Wirtschaft,Arbeitsmarkt,,,Arbeitsmarkt
131,967,27,32018,1185.851851851852,823.0,82,5101,Universität,,,,Universität
132,171,26,17838,686.0769230769231,547.5,23,2266,Kultur,Fotografie,,,Fotografie
133,759,26,70651,2717.346153846154,2076.5,236,8423,_Quartiere,St. Johann,,,St. Johann
134,274,26,40840,1570.7692307692307,596.5,61,12608,Gesellschaft,Medizin,,,Medizin
135,184,26,35070,1348.8461538461538,1206.5,24,4770,Politik,_Parteien,Grüne,,Grüne
136,527,26,26722,1027.7692307692307,651.5,224,6957,Kultur,Kulturpolitik,,,Kulturpolitik
137,1004,25,122358,4894.32,3689.0,579,18345,_Zeitgeschichte,Knackeboul,,,Knackeboul
138,362,25,90307,3612.28,1103.0,147,21498,Medien,Journalismus,,,Journalismus
139,625,25,21882,875.28,507.0,52,3355,Gesellschaft,Gleichstellung,,,Gleichstellung
140,233,25,19345,773.8,232.0,35,4713,Wissenschaft,,,,Wissenschaft
141,284,24,39252,1635.5,1516.5,268,3573,Sport,Fussball,FC Sion,,FC Sion
142,755,24,25970,1082.0833333333333,253.0,43,4812,Wirtschaft,Technologie,,,Technologie
143,472,24,16629,692.875,262.5,37,4713,Wetter,,,,Wetter
144,775,24,71282,2970.0833333333335,1943.5,60,12394,Gesellschaft,Rassismus,,,Rassismus
145,917,23,21092,917.0434782608696,380.0,74,5627,Politik,Abstimmungen & Wahlen,Abstimmungen vom 9. Februar 2014,Masseneinwanderungsinitiative,Masseneinwanderungsinitiative
146,725,23,30202,1313.1304347826087,669.0,22,5032,Digital,Datenschutz,,,Datenschutz
147,430,23,39436,1714.608695652174,1006.0,289,5719,Kultur,Messen,,,Messen
148,932,23,26450,1150.0,543.0,65,5559,Politik,Finanzpolitik,,,Finanzpolitik
149,964,23,46670,2029.1304347826087,1231.0,253,5719,Kultur,Messen,Kunstmessen,,Kunstmessen
150,800,22,9160,416.3636363636364,190.5,38,2760,Sport,Olympische Spiele,,,Olympische Spiele
151,931,22,24986,1135.7272727272727,806.0,68,6445,Verkehr,Velo,,,Velo
