,topic_id,count,pageviews,average,median,min,max,level0,level1,level2,level3,title
60,539,10,20802,2080.2,930.0,127,11818,_Textformen & feste Rubriken,Reportagen,,,Reportagen
61,976,21,43677,2079.8571428571427,1073.0,136,18345,Kultur,Jugendkultur,,,Jugendkultur
62,420,9,18656,2072.8888888888887,418.0,54,14358,_Länder,Europa,Ungarn,,Ungarn
63,885,20,41190,2059.5,1971.0,275,3829,Sport,Fussball,FC Vaduz,,FC Vaduz
64,873,12,24662,2055.1666666666665,822.0,114,11251,Digital,Apps,,,Apps
65,1007,150,307383,2049.22,1661.0,100,16369,Politik,Abstimmungen & Wahlen,Wahlen BS 2016,,Wahlen BS 2016
66,230,17,34759,2044.6470588235295,948.0,161,7806,Kultur,Design,,,Design
67,646,51,104219,2043.5098039215686,866.0,93,25447,Basel,,,,Basel
68,964,23,46670,2029.1304347826087,1231.0,253,5719,Kultur,Messen,Kunstmessen,,Kunstmessen
69,851,75,151411,2018.8133333333333,1070.0,22,13347,Polizei,,,,Polizei
70,40,8,16071,2008.875,1324.5,461,6788,Veranstaltung,Party Veranstaltung,,,Party Veranstaltung
71,604,19,38078,2004.1052631578948,1652.0,272,7943,_Textformen & feste Rubriken,Auch das noch,,,Auch das noch
72,201,16,31875,1992.1875,1634.5,188,9418,Gesellschaft,Drogen,,,Drogen
73,148,18,35179,1954.388888888889,1130.0,49,7474,_Firmen,Roche,,,Roche
74,198,45,87446,1943.2444444444445,1080.0,48,10989,Gesellschaft,Religion,,,Religion
75,466,21,40751,1940.5238095238096,854.0,198,8874,Politik,_Themen,Sozialwerke,,Sozialwerke
76,595,75,145070,1934.2666666666667,1831.0,22,5362,Sport,Fussball,FC Basel,rotblaulive,rotblaulive
77,455,125,241645,1933.16,1475.0,203,11244,Lokales,Stadtentwicklung,,,Stadtentwicklung
78,1025,13,25125,1932.6923076923076,1843.0,55,5621,Lifestyle,Reisen,Sommerserie: Besuch in Basel,,Sommerserie: Besuch in Basel
79,637,29,55878,1926.8275862068965,1412.0,105,14934,Sport,Fussball,Schweizer Cup,,Schweizer Cup
80,405,21,40278,1918.0,2049.0,127,4174,Sport,Fussball,FC Luzern,,FC Luzern
81,28,156,298275,1912.0192307692307,949.0,22,38175,Gesellschaft,,,,Gesellschaft
82,3,484,920910,1902.706611570248,1556.5,23,23104,Sport,Fussball,FC Basel,,FC Basel
83,125,7,13263,1894.7142857142858,286.0,129,7135,Region der Schweiz,Kanton Zürich,,,Kanton Zürich
84,351,12,22648,1887.3333333333333,463.0,24,8495,Digital,Facebook,,,Facebook
85,142,27,50809,1881.8148148148148,1123.0,296,8754,Lokales,,,,Lokales
86,555,12,22186,1848.8333333333333,731.0,118,10927,Kultur,Kinder,,,Kinder
87,402,39,71866,1842.7179487179487,1590.0,163,10155,Sport,Fussball,Young Boys Bern,,Young Boys Bern
88,708,90,165331,1837.0111111111112,1288.5,86,14934,Sport,Fussball,Europa League,,Europa League
89,146,4,7300,1825.0,1338.5,85,4538,_Firmen,,,,_Firmen
90,760,8,14502,1812.75,1340.0,88,6596,Gesellschaft,Prostitution,,,Prostitution
91,1043,6,10824,1804.0,1374.5,360,4740,_Textformen & feste Rubriken,Wahnsinn Alltag,,,Wahnsinn Alltag
92,974,17,30506,1794.4705882352941,1142.0,580,5719,Kultur,Kunstmarkt,,,Kunstmarkt
93,598,7,12490,1784.2857142857142,1041.0,356,4234,Politik,_Themen,Arbeitslosigkeit,,Arbeitslosigkeit
94,264,6,10623,1770.5,1398.5,315,3432,Unglücksfälle und Verbrechen,Organisierte Kriminalität,,,Organisierte Kriminalität
95,364,16,28319,1769.9375,1512.0,347,4457,_Personen,Guy Morin,,,Guy Morin
96,368,7,12328,1761.142857142857,1551.0,484,3557,_Personen,Christoph Eymann,,,Christoph Eymann
97,799,46,80496,1749.9130434782608,1174.0,54,6863,Gesellschaft,Wohnen,,,Wohnen
98,782,36,62937,1748.25,1515.5,127,8107,Kultur,Museen,Kunstmuseum,,Kunstmuseum
99,343,6,10402,1733.6666666666667,1186.0,195,4131,Gesellschaft,Psychologie,,,Psychologie
100,513,100,173342,1733.42,911.5,24,37126,Politik,Abstimmungen & Wahlen,,,Abstimmungen & Wahlen
101,900,9,15589,1732.111111111111,1582.0,676,2849,Lokales,Stadtentwicklung,Hafenareal,,Hafenareal
102,502,6,10339,1723.1666666666667,1194.0,220,4695,Gesellschaft,Sexismus,,,Sexismus
103,430,23,39436,1714.608695652174,1006.0,289,5719,Kultur,Messen,,,Messen
104,181,33,56029,1697.8484848484848,1275.0,114,11060,Politik,_Parteien,SP,,SP
105,611,30,50800,1693.3333333333333,811.0,83,18345,Medien,Fernsehen,,,Fernsehen
106,549,5,8461,1692.2,2028.0,62,3899,Wirtschaft,Modebranche,,,Modebranche
107,608,8,13533,1691.625,1404.5,171,5019,Politik,_Parteien,LDP,,LDP
108,871,4,6745,1686.25,1513.0,870,2849,Lokales,Klybeckquai,,,Klybeckquai
109,100,114,190570,1671.6666666666667,969.5,26,14429,Region der Schweiz,Kanton Basel-Stadt,,,Kanton Basel-Stadt
110,360,9,15035,1670.5555555555557,1108.0,528,4471,Medien,Telebasel,,,Telebasel
111,784,34,56767,1669.6176470588234,1374.5,365,5605,Kultur,Popkultur Basel,,,Popkultur Basel
112,475,42,70065,1668.2142857142858,931.5,25,11979,Wirtschaft,Tourismus,,,Tourismus
113,185,15,24911,1660.7333333333333,1080.0,30,4827,Politik,_Parteien,CVP,,CVP
114,579,63,104029,1651.2539682539682,536.0,30,14429,Justiz,,,,Justiz
115,211,22,36150,1643.1818181818182,1052.5,424,7474,Kultur,Architektur,,,Architektur
116,458,14,23000,1642.857142857143,422.0,41,11979,Naturereignisse,Unwetter,,,Unwetter
117,227,52,85309,1640.5576923076924,155.0,27,30947,_Länder,Naher Osten,Syrien,,Syrien
118,285,168,275455,1639.6130952380952,1414.0,23,14934,Sport,Fussball,Swiss Football League SFL,,Swiss Football League SFL
119,284,24,39252,1635.5,1516.5,268,3573,Sport,Fussball,FC Sion,,FC Sion
120,639,20,32463,1623.15,1677.5,139,4087,Sport,Fussball,FC St. Gallen,,FC St. Gallen
