,article_id,published,type,Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert,section
46,727260.0,2016-08-21,news,kultur/727260,2657.0,2484.0,00:06:29,2196.0,"91,26 %","84,68 %","0,00 CHF",kultur
47,727269.0,2016-08-16,news,sport/727269,2656.0,2473.0,00:03:29,1780.0,"88,76 %","77,07 %","0,00 CHF",sport
48,683236.0,2015-03-18,news,basel/683236,2647.0,2433.0,00:05:08,2431.0,"92,88 %","91,31 %","0,00 CHF",basel
49,728211.0,2016-08-27,news,basel/728211,2645.0,2494.0,00:02:54,1582.0,"89,25 %","66,99 %","0,00 CHF",basel
50,726731.0,2016-08-17,news,sport/726731,2561.0,2421.0,00:04:31,1736.0,"91,65 %","79,27 %","0,00 CHF",sport
51,726932.0,2016-08-18,news,sport/726932,2557.0,2370.0,00:04:46,1707.0,"90,74 %","79,19 %","0,00 CHF",sport
52,727993.0,2016-08-24,news,kultur/727993,2546.0,2400.0,00:04:24,2114.0,"91,30 %","85,70 %","0,00 CHF",kultur
53,726335.0,2016-08-06,news,sport/726335,2487.0,2376.0,00:04:11,1438.0,"89,36 %","72,90 %","0,00 CHF",sport
54,726523.0,2016-08-08,news,basel/726523,2439.0,2167.0,00:03:32,1451.0,"67,82 %","57,28 %","0,00 CHF",basel
55,727310.0,2016-08-16,news,basel/727310,2416.0,2256.0,00:02:54,1463.0,"90,43 %","68,83 %","0,00 CHF",basel
56,728084.0,2016-08-25,news,sport/728084,2407.0,1981.0,00:03:56,434.0,"79,03 %","54,80 %","0,00 CHF",sport
57,727597.0,2016-08-19,news,kultur/727597,2339.0,2126.0,00:03:17,1393.0,"81,12 %","67,46 %","0,00 CHF",kultur
58,726650.0,2016-08-11,news,sport/726650,2336.0,2214.0,00:04:17,657.0,"86,15 %","55,91 %","0,00 CHF",sport
59,727900.0,2016-08-25,news,leben/727900,2313.0,2181.0,00:03:09,1899.0,"87,78 %","80,24 %","0,00 CHF",leben
60,727406.0,2016-08-18,news,basel/727406,2308.0,2095.0,00:03:18,1243.0,"82,30 %","62,56 %","0,00 CHF",basel
61,727925.0,2016-08-25,news,schweiz/727925,2290.0,2098.0,00:03:54,1679.0,"87,79 %","75,68 %","0,00 CHF",schweiz
62,726314.0,2016-08-05,news,sport/726314,2263.0,2118.0,00:03:21,748.0,"83,29 %","61,73 %","0,00 CHF",sport
63,726018.0,2016-08-02,news,basel/726018,2242.0,2070.0,00:02:57,1559.0,"86,72 %","72,52 %","0,00 CHF",basel
64,727679.0,2016-08-20,news,sport/727679,2240.0,1904.0,00:04:28,688.0,"83,72 %","58,88 %","0,00 CHF",sport
65,727027.0,2016-08-14,news,sport/727027,2206.0,1674.0,00:05:13,338.0,"71,60 %","49,09 %","0,00 CHF",sport
66,726639.0,2016-08-10,news,sport/726639,2189.0,1891.0,00:04:55,512.0,"80,27 %","58,89 %","0,00 CHF",sport
67,726700.0,2016-08-23,news,basel/726700,2179.0,2031.0,00:04:40,811.0,"80,89 %","54,70 %","0,00 CHF",basel
68,728227.0,2016-08-29,news,basel/728227,2167.0,2031.0,00:02:37,742.0,"77,36 %","48,13 %","0,00 CHF",basel
69,727749.0,2016-08-22,news,kultur/727749,2135.0,1992.0,00:02:55,1169.0,"81,27 %","64,54 %","0,00 CHF",kultur
70,726988.0,2016-08-13,news,sport/726988,2085.0,1930.0,00:04:24,1591.0,"88,87 %","81,34 %","0,00 CHF",sport
71,665288.0,2014-08-07,news,basel/665288,2084.0,1770.0,00:05:18,1667.0,"82,48 %","79,94 %","0,00 CHF",basel
72,727873.0,2016-08-25,news,leben/727873,2077.0,1940.0,00:03:33,1709.0,"89,94 %","82,47 %","0,00 CHF",leben
73,728320.0,2016-08-28,news,sport/728320,2075.0,1833.0,00:04:29,238.0,"75,21 %","50,31 %","0,00 CHF",sport
74,728031.0,2016-08-25,news,basel/728031,2054.0,1909.0,00:02:32,486.0,"69,14 %","43,38 %","0,00 CHF",basel
