,level2,count,pageviews,average
66,Brexit,27,28129,1041.8148148148148
67,FC St. Gallen,27,32856,1216.888888888889
68,Euro-Mindestkurs,26,12216,469.84615384615387
69,FC Lugano,24,31070,1294.5833333333333
70,BLT,23,9809,426.4782608695652
71,FC Thun,23,22945,997.6086956521739
72,Mazedonien,22,5744,261.09090909090907
73,FC Vaduz,22,41292,1876.909090909091
74,LDP,22,15163,689.2272727272727
75,Regierungsratswahlen BL 2013,22,1184,53.81818181818182
76,Fifa,21,12171,579.5714285714286
77,Österreich,21,4012,191.04761904761904
78,Swiss Indoors,21,3689,175.66666666666666
79,Polen,20,21641,1082.05
80,Arbeitslosigkeit,20,18802,940.1
81,Basler Fasnacht 2014,20,1916,95.8
82,China,20,6910,345.5
83,Roche-Areal,20,25120,1256.0
84,Raumplanung,20,9862,493.1
85,Museumsnacht,19,8549,449.94736842105266
86,Brasilien,19,4721,248.47368421052633
87,WM 2018,18,20843,1157.9444444444443
88,TNW,18,12438,691.0
89,Roche-Turm,18,22745,1263.611111111111
90,Irak,18,33069,1837.1666666666667
91,Kosovo,18,4576,254.22222222222223
92,Basler Fasnacht 2013,17,1052,61.88235294117647
93,Spanien,16,4604,287.75
94,BuchBasel,16,7645,477.8125
95,Ungarn,16,19820,1238.75
96,Olympische Winterspiele 2014,15,801,53.4
97,Israel,15,1848,123.2
98,Schweizerischer Fussball-Verband SFV,15,18924,1261.6
99,Liste,14,17954,1282.4285714285713
100,Iran,14,7144,510.2857142857143
101,Kroatien,14,11494,821.0
102,Sommerserie: Besuch in Basel,13,25125,1932.6923076923076
103,Albanien,13,2884,221.84615384615384
104,Basel zeigt Haltung,12,8328,694.0
105,Vietnam,12,8550,712.5
106,Wochenthema Hochhäuser,12,5520,460.0
107,Regierungsratswahlen BS 2012,12,1540,128.33333333333334
108,Basler Plätze,12,17230,1435.8333333333333
109,FC Lausanne-Sport,12,15598,1299.8333333333333
110,Palästina,12,29350,2445.8333333333335
111,CSI Basel,11,1031,93.72727272727273
112,GLP,10,4066,406.6
113,Kuba,10,2917,291.7
114,Belgien,10,4566,456.6
115,UNO,10,3150,315.0
116,FC Aarau,10,3268,326.8
117,Street Art,10,9162,916.2
118,Euro 2012,10,3127,312.7
119,Autobahn,9,2981,331.22222222222223
120,Fessenheim,9,9806,1089.5555555555557
121,Olympische Spiele 2012,9,842,93.55555555555556
122,Abstimmungen 30. November,8,308,38.5
123,Grossratswahlen BS 2012,8,1477,184.625
124,Indien,8,2773,346.625
125,Saudi Arabien,8,2601,325.125
126,Portugal,8,1270,158.75
127,Abstimmungen vom 14. Juni 2015,8,788,98.5
128,Abstimmungen vom 22. September 2013,8,336,42.0
129,Wahlen BL 2015,8,435,54.375
130,Tibet,8,406,50.75
131,Libanon,8,32405,4050.625
132,Bulgarien,7,8825,1260.7142857142858
133,BDP,7,2325,332.14285714285717
134,Vatikan,7,3606,515.1428571428571
135,Bundesratswahlen 2015,7,350,50.0
136,Skurrile Museen,7,5733,819.0
137,KJPK,6,292,48.666666666666664
138,Ausblick 2015,6,330,55.0
139,Nordkorea,6,482,80.33333333333333
140,Afghanistan,6,5278,879.6666666666666
141,Rumänien,6,1136,189.33333333333334
142,Essen fürs Auge,6,590,98.33333333333333
143,Medges,5,653,130.6
144,Belarus,5,1587,317.4
145,Slowenien,5,279,55.8
146,Libyen,5,1111,222.2
147,Uefa,5,6821,1364.2
148,Abstimmungen 8. März 2015,5,217,43.4
149,Piratenpartei,4,2586,646.5
150,Burma,4,517,129.25
151,Zypern,4,279,69.75
152,Slowakei,4,811,202.75
153,Mali,4,829,207.25
154,Kunst am Bau,4,5750,1437.5
155,Xamax Neuenburg,4,257,64.25
156,1:12-Initiative,4,252,63.0
157,Nato,4,1298,324.5
158,Südafrika,4,469,117.25
159,Niederlande,3,163,54.333333333333336
160,Thailand,3,3130,1043.3333333333333
161,Burkina Faso,3,830,276.6666666666667
162,Tunesien,3,31133,10377.666666666666
163,Irland,3,370,123.33333333333333
164,Aserbaidschan,3,259,86.33333333333333
165,EVP,3,1079,359.6666666666667
166,Olympische Winterspiele 2022,3,445,148.33333333333334
167,Nepal,3,161,53.666666666666664
168,Servette Genf,3,1203,401.0
169,Serien,3,6095,2031.6666666666667
170,Philippinen,3,449,149.66666666666666
171,Armenien,2,179,89.5
172,Argentinien,2,77,38.5
173,Bangladesch,2,298,149.0
174,Abstimmungs-Spickzettel,2,969,484.5
175,Island,2,337,168.5
176,Venezuela,2,1773,886.5
177,Südkorea,2,731,365.5
178,Norwegen,2,858,429.0
179,Japan,2,391,195.5
180,Finnland,2,939,469.5
181,Jemen,2,481,240.5
182,Sudan,2,124,62.0
183,Litauen,2,857,428.5
184,Dänemark,2,1789,894.5
185,Bundesverwaltung,2,2124,1062.0
186,Ecuador,1,252,252.0
187,Kanada,1,115,115.0
188,Euro 2020,1,150,150.0
189,Kongo,1,118,118.0
190,Tschechien,1,522,522.0
191,Jordanien,1,27387,27387.0
192,Abstimmungen vom 24. November,1,25,25.0
193,Davis Cup,1,2042,2042.0
194,Schweden,1,681,681.0
195,Lettland,1,832,832.0
196,Kasachstan,1,52,52.0
197,Kolumbien,1,41,41.0
198,Südsudan,1,87,87.0
