,level2,count,pageviews,average
0,FC Basel,1024,1158353,1131.2041015625
1,Migration,840,695835,828.375
2,Wahlen BS 2016,371,691258,1863.2291105121294
3,Swiss Football League SFL,231,291199,1260.6017316017317
4,Schweiz,208,90895,436.9951923076923
5,Champions League,192,159400,830.2083333333334
6,Regierungsrat BS,185,138299,747.5621621621622
7,Grosser Rat BS,161,104407,648.4906832298136
8,Europa League,151,177544,1175.7880794701987
9,Euro 2016,147,125436,853.3061224489796
10,Nationalmannschaft,140,98353,702.5214285714286
11,Frankreich,121,107922,891.9173553719008
12,Türkei,114,95428,837.0877192982456
13,SVP,113,122259,1081.9380530973451
14,Kunstmuseum,110,116931,1063.009090909091
15,USA,97,83196,857.6907216494845
16,Deutschland,84,63034,750.4047619047619
17,Abstimmungen 28. Februar 2016,84,220516,2625.190476190476
18,BVB,84,45010,535.8333333333334
19,Gesundheitswesen,83,36587,440.8072289156627
20,Nationalrat,83,73836,889.5903614457832
21,Syrien,78,90007,1153.9358974358975
22,Bundesrat,74,34881,471.36486486486484
23,Italien,74,64432,870.7027027027027
24,SBB,72,43394,602.6944444444445
25,Armee,71,26998,380.2535211267606
26,SP,70,62823,897.4714285714285
27,Russland,68,31090,457.20588235294116
28,Schweizer Cup,66,58422,885.1818181818181
29,Regierungsrat BL,66,18889,286.1969696969697
30,Sozialwerke,66,70831,1073.1969696969697
31,Art Basel,62,49285,794.9193548387096
32,Sozialwesen,56,50208,896.5714285714286
33,Landrat BL,54,10628,196.8148148148148
34,Young Boys Bern,53,72925,1375.9433962264152
35,Abstimmungen vom 9. Februar 2014,52,22905,440.4807692307692
36,FC Zürich,52,31091,597.9038461538462
37,Grossbritannien,51,39301,770.6078431372549
38,Grüne,48,36657,763.6875
39,Griechenland,47,29912,636.4255319148937
40,Grasshoppers Zürich,47,39769,846.1489361702128
41,Künstlerporträts,46,22731,494.1521739130435
42,Ständerat,42,8075,192.26190476190476
43,Fasnacht Basler 2016,42,140261,3339.5476190476193
44,Bosnien-Herzegowina,42,10516,250.38095238095238
45,Serbien,41,20739,505.8292682926829
46,FDP,40,29686,742.15
47,FC Sion,40,40226,1005.65
48,Ägypten,39,18129,464.84615384615387
49,Hafenareal,39,20122,515.9487179487179
50,WM 2014,39,7335,188.07692307692307
51,Ukraine,39,5575,142.94871794871796
52,Kunstmessen,38,47427,1248.078947368421
53,Olympische Spiele 2016,37,17881,483.27027027027026
54,Krankenkassen,36,19449,540.25
55,Eidgenössische Wahlen 2015,36,2202,61.166666666666664
56,Mieten,35,16317,466.2
57,Rezept,34,14867,437.2647058823529
58,Einwanderungsinitiativen,33,13073,396.1515151515151
59,OSZE,32,3901,121.90625
60,CVP,31,25910,835.8064516129032
61,FC Luzern,30,40697,1356.5666666666666
62,Finanzen BL,30,4961,165.36666666666667
63,Unternehmenssteuer-Reform III,28,44677,1595.607142857143
64,Kunst am Wegrand,28,7367,263.10714285714283
65,Basler Fasnacht 2015,28,4421,157.89285714285714
