,level0,count,pageviews,average
0,Sport,6190,5258280,849.4798061389338
1,Kultur,5475,2523659,460.94228310502285
2,Politik,4071,3302666,811.2665192827316
3,Gesellschaft,2190,1495606,682.9251141552511
4,_Länder,1732,1193707,689.2072748267898
5,Wirtschaft,1583,1213255,766.4276689829438
6,_Textformen & feste Rubriken,1488,967690,650.3293010752689
7,Lokales,1458,815536,559.3525377229081
8,Lifestyle,1053,728799,692.1168091168091
9,Verkehr,816,461494,565.5563725490196
10,Basel,799,303126,379.3817271589487
11,Medien,652,609215,934.3788343558282
12,_Quartiere,650,426506,656.1630769230769
13,Region der Schweiz,595,526860,885.4789915966387
14,Bildung,569,328623,577.5448154657294
15,Umwelt & Natur,475,169358,356.54315789473685
16,_Personen,463,341377,737.3153347732182
17,Digital,400,314180,785.45
18,Veranstaltung,351,233500,665.2421652421652
19,Kino,323,140645,435.43343653250776
20,Baselland,322,158413,491.96583850931677
21,_Zeitgeschichte,308,250817,814.3409090909091
22,_Firmen,282,142570,505.5673758865248
23,Unglücksfälle und Verbrechen,272,152446,560.4632352941177
24,Energie,202,92734,459.0792079207921
25,Justiz,151,120812,800.0794701986755
26,Region heute,144,68522,475.84722222222223
27,Wochenthema,107,112047,1047.1682242990655
28,Zeitmaschine,104,42471,408.375
29,Wissenschaft,103,78266,759.8640776699029
30,Polizei,103,153499,1490.2815533980583
31,Theater Basel,88,51541,585.6931818181819
32,Stadtleben,82,58018,707.5365853658536
33,_Feiertage,76,29349,386.17105263157896
34,_Jahreszeiten,67,73329,1094.4626865671642
35,Restaurant: Küche,66,81124,1229.1515151515152
36,Forschung,64,29209,456.390625
37,Naturereignisse,62,39535,637.6612903225806
38,Zwischennutzung,55,31478,572.3272727272728
39,Esskultur,50,17773,355.46
40,Universität,45,38636,858.5777777777778
41,Krieg,45,20258,450.1777777777778
42,Gewerbe,43,12829,298.3488372093023
43,Wetter,41,18795,458.4146341463415
44,Sicherheit,40,28917,722.925
45,Region,39,19646,503.7435897435897
46,Rhein,38,29624,779.578947368421
47,Internet,34,12191,358.55882352941177
48,Strassen,33,10739,325.42424242424244
49,Baudepartement,32,10680,333.75
50,Alois K. Hürlimann,30,32044,1068.1333333333334
51,Wissen,29,11140,384.13793103448273
52,Riehen,25,6742,269.68
53,Partnerschaft BS_BL,24,17384,724.3333333333334
54,Kirche,24,13179,549.125
55,Kantonsverwaltung,17,10277,604.5294117647059
56,Restaurant: Ambiente,16,23473,1467.0625
57,Verbrechen,16,29575,1848.4375
58,Partner,15,2221,148.06666666666666
59,Sprache,15,8158,543.8666666666667
60,Parkplätze,13,8871,682.3846153846154
61,Grundeinkommen,12,23596,1966.3333333333333
62,Andi Gross,12,581,48.416666666666664
63,Partner: SBB Abenteuer,10,1321,132.1
64,Aargau,9,1177,130.77777777777777
65,Bye-Bye Basel,9,632,70.22222222222223
66,Christoph Merian Stiftung,9,2784,309.3333333333333
67,Frieden,9,670,74.44444444444444
68,Der Konsument von Morgen,9,10542,1171.3333333333333
69,Flug,9,759,84.33333333333333
70,Fusion BS/BL,8,432,54.0
71,Gregor Gysi,7,1519,217.0
72,Abstimmungen vom 18. Mai 2014,6,222,37.0
73,Erlenmatt,6,9519,1586.5
74,Solothurn,5,1228,245.6
75,Erklär-Bär,5,15674,3134.8
76,Altersheim,4,2322,580.5
77,Mexiko,4,2622,655.5
78,Raumfahrt,4,688,172.0
79,Linke,4,3677,919.25
80,Wochenthema Filmszene Basel,4,151,37.75
81,Montenegro,3,3736,1245.3333333333333
82,Mehmets Asien-Küchenexpedition,3,152,50.666666666666664
83,Streik,3,1452,484.0
84,Jurafrage,3,233,77.66666666666667
85,Buvette,2,2252,1126.0
86,jazz,1,1693,1693.0
87,Gotthelf,1,70,70.0
88,Muba,1,408,408.0
89,Ozeanium,1,840,840.0
