,level1,count,pageviews,average
147,Apps,28,33188,1185.2857142857142
148,5 Jahre TagesWoche,28,40937,1462.0357142857142
149,Offspaces,27,17327,641.7407407407408
150,Rheinhafen,27,15316,567.2592592592592
151,Knackeboul,27,122358,4531.777777777777
152,EuroAirport,27,7669,284.037037037037
153,Dreispitz,27,7849,290.7037037037037
154,Ausstellung Veranstaltung,26,18731,720.4230769230769
155,Eva Herzog,26,23020,885.3846153846154
156,Roger Federer,26,9966,383.3076923076923
157,Polizeieinsatz an der Art,25,1910,76.4
158,Heimelektronik,25,9213,368.52
159,Community,24,33375,1390.625
160,Globalisierung,24,14810,617.0833333333334
161,Rohstoffhandel,24,19875,828.125
162,Berufslehre,24,26653,1110.5416666666667
163,Breite,24,10521,438.375
164,Musikindustrie,24,25480,1061.6666666666667
165,Iselin,23,4943,214.91304347826087
166,Kulturpreise,23,25636,1114.608695652174
167,Einkaufstourismus,23,19180,833.9130434782609
168,Editorial,23,12093,525.7826086956521
169,Wirtschaftskriminalität,23,13507,587.2608695652174
170,Syngenta,23,9452,410.95652173913044
171,Altersvorsorge,23,9082,394.8695652173913
172,FHNW,22,12099,549.9545454545455
173,Kunstmarkt,22,30949,1406.7727272727273
174,Nachruf,21,18654,888.2857142857143
175,Radsport,21,4456,212.1904761904762
176,#ParisAttacks,21,9763,464.9047619047619
177,100 Jahre 1. Weltkrieg,21,2309,109.95238095238095
178,Unwetter,21,23272,1108.1904761904761
179,Homosexualität,21,11183,532.5238095238095
180,Schach,21,8183,389.6666666666667
181,Drama Film,20,12910,645.5
182,Wunschkonzert,20,9751,487.55
183,Telebasel,20,15985,799.25
184,Reportagen,20,23586,1179.3
185,Supersach,20,21673,1083.65
186,BKB,20,4732,236.6
187,Ski nordisch,19,1974,103.89473684210526
188,Telekommunikation,19,7973,419.63157894736844
189,Altlasten,18,2953,164.05555555555554
190,Christoph Blocher,18,33650,1869.4444444444443
191,Christoph Brutschin,18,10179,565.5
192,Winter,18,5921,328.94444444444446
193,Ausflugstipps,18,45120,2506.6666666666665
194,Poetry Slam,17,4157,244.52941176470588
195,Archäologie,17,4779,281.11764705882354
196,Kindergarten,17,2477,145.7058823529412
197,Fachhochschulen,17,8639,508.1764705882353
198,Volleyball,17,2894,170.23529411764707
199,Bruderholz,17,5602,329.52941176470586
200,Modebranche,17,12370,727.6470588235294
201,Hooliganismus,16,3648,228.0
202,Herbstmesse,16,5684,355.25
203,Organisierte Kriminalität,16,12020,751.25
204,Party Veranstaltung,16,16362,1022.625
205,Wochenthema Feminismus,16,57139,3571.1875
206,Rauchen,16,4582,286.375
207,Sexismus,15,11376,758.4
208,20 Jahre Dayton-Abkommen,15,6725,448.3333333333333
209,KMU,15,8402,560.1333333333333
210,Wochenthema Verkehrskonzept,15,3640,242.66666666666666
211,Basketball,14,5662,404.42857142857144
212,Komödie Film,14,7850,560.7142857142857
213,Kanton Zürich,14,13954,996.7142857142857
214,Wagenplatz,14,1996,142.57142857142858
215,Twitter,14,9741,695.7857142857143
216,Schweizerische Nationalbank,14,6466,461.85714285714283
217,TagesWoche Mittendrin,13,10432,802.4615384615385
218,Giftmüll,13,4041,310.84615384615387
219,Finanzkrise,12,3680,306.6666666666667
220,Erdbeben,12,3265,272.0833333333333
221,Zirkus Veranstaltung,12,4335,361.25
222,40 Jahre Vietnamkrieg,12,7665,638.75
223,Kulturjahr,12,2645,220.41666666666666
224,Badminton,12,2118,176.5
225,Sebastian Frehner,12,20883,1740.25
226,Uhrenindustrie,12,2284,190.33333333333334
227,1. August,12,9004,750.3333333333334
228,Netflix,11,12800,1163.6363636363637
229,Panama Papers,11,10203,927.5454545454545
230,Curling,11,2354,214.0
231,Isaac Reber,11,2918,265.27272727272725
232,Jahresrückblick 2013,11,1732,157.45454545454547
233,Frühling,11,2011,182.8181818181818
234,Jugendschutz,11,7798,708.9090909090909
235,Wochenthema Clubszene,11,13227,1202.4545454545455
236,Wochengedicht,11,955,86.81818181818181
237,Küche: Gourmet,11,5961,541.9090909090909
238,Jahresrückblick 2012,10,11461,1146.1
239,Coop,10,4835,483.5
240,Horror Film,10,2478,247.8
241,NZZ,10,18069,1806.9
242,Wladimir Putin,10,1498,149.8
243,Silvester,10,1909,190.9
244,Pratteln,10,5593,559.3
245,Klettern,10,2966,296.6
246,Börse,10,2819,281.9
247,Basellandschaftliche Zeitung,10,6431,643.1
248,Andere Veranstaltung,10,6772,677.2
249,Sci-Fi Film,10,1474,147.4
250,Google,10,3472,347.2
251,Migros,10,4588,458.8
252,Historischer Film,9,2207,245.22222222222223
253,Post,9,7387,820.7777777777778
254,Kanton Graubünden,9,1191,132.33333333333334
255,Schwingen,9,4764,529.3333333333334
256,Weltwoche,9,8967,996.3333333333334
257,Behindertensport,9,454,50.44444444444444
258,Wochenthema Fortpflanzungsmedizin,8,3199,399.875
259,Urs Wüthrich-Pelloli,8,525,65.625
260,Musikfilm Film,8,2794,349.25
261,Wochenthema Mitwirkung,8,1115,139.375
262,Action Film,8,2663,332.875
263,Generation Slash,8,3739,467.375
264,Gender Studies,8,48127,6015.875
265,U-Abo,8,3266,408.25
266,Thriller Film,8,1994,249.25
267,Johann Schneider Ammann,8,3882,485.25
