,topic_id,level0,level1,level2,level3,title
379,746,_Textformen & feste Rubriken,Herausgefordert im 2013,,,Herausgefordert im 2013
380,747,Sport,Olympische Spiele,Olympische Winterspiele 2022,,Olympische Winterspiele 2022
381,748,Politik,Abstimmungen & Wahlen,Regierungsratswahlen BL 2013,,Regierungsratswahlen BL 2013
382,749,Lokales,Fasnacht,Basler Fasnacht 2013,,Basler Fasnacht 2013
383,750,Region der Schweiz,Region Zentralschweiz,,,Region Zentralschweiz
384,751,_Länder,Europa,Armenien,,Armenien
385,752,_Länder,Naher Osten,Jordanien,,Jordanien
386,753,Politik,_Parteien,EVP,,EVP
387,754,_Zeitgeschichte,Schloss-Initiative,,,Schloss-Initiative
388,756,_Textformen & feste Rubriken,Ivan Ergić,,,Ivan Ergić
389,757,Sport,American Football,,,American Football
390,761,Sport,Billard,,,Billard
391,762,_Länder,Asien,Bangladesch,,Bangladesch
392,764,Sport,Fussball,FC Aarau,,FC Aarau
393,765,_Zeitgeschichte,Polizeieinsatz an der Art,,,Polizeieinsatz an der Art
394,766,Kultur,Literatur & Lyrik,Basler Buchtipp,,Basler Buchtipp
395,768,_Textformen & feste Rubriken,Ausflugstipps,,,Ausflugstipps
396,769,Sport,Behindertensport,,,Behindertensport
397,774,_Textformen & feste Rubriken,Wir fahren Tram,,,Wir fahren Tram
398,776,_Quartiere,Bruderholz,,,Bruderholz
399,778,_Quartiere,Iselin,,,Iselin
400,779,Politik,_Themen,Armee,Wehrpflicht,Wehrpflicht
401,780,Gesellschaft,Physik,,,Physik
402,781,Fusion BS/BL,,,,Fusion BS/BL
403,783,Politik,Abstimmungen & Wahlen,Abstimmungen vom 22. September 2013,,Abstimmungen vom 22. September 2013
404,785,Politik,Abstimmungen & Wahlen,1:12-Initiative,,1:12-Initiative
405,786,Bye-Bye Basel,,,,Bye-Bye Basel
406,787,_Länder,Südamerika,Ecuador,,Ecuador
407,788,Gesellschaft,Durness-Messina,,,Durness-Messina
408,790,_Textformen & feste Rubriken,TagesWoche Mittendrin,,,TagesWoche Mittendrin
409,791,_Textformen & feste Rubriken,Kimstedt liest,,,Kimstedt liest
410,792,Gotthelf,,,,Gotthelf
411,794,Zeitmaschine,,,,Zeitmaschine
