Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert
/de/2016_29/international/,2709,1985,00:01:16,157,"42,04 %","23,77 %","0,00 CHF"
/de/2016_28/sport/724262,2698,2541,00:03:42,1012,"86,56 %","58,52 %","0,00 CHF"
/de/2016_27/sport/,2697,1961,00:01:04,397,"39,55 %","29,96 %","0,00 CHF"
/de/2014_28/basel/664044,2687,2340,00:05:56,2230,"83,32 %","80,83 %","0,00 CHF"
/de/2016_31/basel/725798,2658,2450,00:03:21,1278,"78,79 %","58,05 %","0,00 CHF"
/de/2016_29/basel/724459,2643,2372,00:03:44,1335,"85,84 %","60,76 %","0,00 CHF"
/de/2016_31/international/,2616,1989,00:01:30,120,"43,33 %","25,57 %","0,00 CHF"
/de/2016_30/basel/725141,2554,2360,00:03:21,2006,"88,48 %","77,64 %","0,00 CHF"
/de/2016_28/basel/723840,2539,2423,00:01:52,1210,"86,86 %","57,50 %","0,00 CHF"
/de/2016_28/schweiz/,2534,1951,00:01:30,87,"54,02 %","20,32 %","0,00 CHF"
/de/blogs/,2505,1736,00:00:35,230,"23,48 %","37,25 %","0,00 CHF"
/wetter,2500,2285,00:02:33,353,"55,24 %","61,24 %","0,00 CHF"
/de/2016_28/basel/724235,2443,2278,00:03:16,988,"88,87 %","57,72 %","0,00 CHF"
/de/2016_28/sport/723992,2415,2218,00:03:23,498,"81,12 %","56,89 %","0,00 CHF"
/de/2016_30/sport/725406,2403,2261,00:05:17,438,"81,28 %","53,06 %","0,00 CHF"
/de/2016_29/sport/724530,2398,2188,00:03:06,751,"72,97 %","53,84 %","0,00 CHF"
/de/2016_27/basel/723462,2304,2173,00:02:53,1827,"85,77 %","77,17 %","0,00 CHF"
/de/2016_28/leben/723854,2304,2176,00:03:28,1615,"89,97 %","76,65 %","0,00 CHF"
/de/2016_28/basel/724148,2277,2130,00:04:56,751,"80,96 %","53,75 %","0,00 CHF"
/de/2016_28/basel/724034,2276,2132,00:04:03,726,"84,57 %","53,60 %","0,00 CHF"
/de/2013_51/kultur/,2240,22,00:10:50,22,"0,00 %","0,98 %","0,00 CHF"
/de/2016_30/basel/725271,2240,2001,00:03:07,1169,"79,73 %","60,31 %","0,00 CHF"
/de/2016_30/leben/725045,2223,2074,00:04:55,1724,"89,39 %","80,57 %","0,00 CHF"
/de/2016_31/basel/725529,2214,1920,00:03:15,931,"78,73 %","54,92 %","0,00 CHF"
/de/2016_30/international/725386,2208,2083,00:02:49,1935,"90,13 %","85,96 %","0,00 CHF"
/de/blogs/bildstoff/723634,2206,2113,00:04:05,1873,"92,74 %","86,72 %","0,00 CHF"
/de/2016_30/basel/725087,2188,2057,00:02:50,1423,"89,11 %","70,80 %","0,00 CHF"
/de/2016_31/sport/725897,2188,1647,00:05:53,366,"75,68 %","51,92 %","0,00 CHF"
/de/pages/teaser/723722,2155,2012,00:03:40,1733,"89,38 %","83,53 %","0,00 CHF"
/de/2016_29/basel/724438,2137,1918,00:03:49,710,"72,96 %","51,80 %","0,00 CHF"
/de/2016_28/kultur/,2097,1601,00:01:06,56,"26,79 %","21,94 %","0,00 CHF"
/de/2016_31/sport/725475,2091,1961,00:03:57,1005,"87,76 %","67,38 %","0,00 CHF"
/de/2016_27/kultur/717663,2086,1918,00:04:57,1443,"87,11 %","74,98 %","0,00 CHF"
/de/2016_27/sport/723533,2085,1982,00:06:00,606,"79,54 %","56,55 %","0,00 CHF"
/de/2016_28/basel/724006,2079,1945,00:02:40,736,"77,31 %","51,37 %","0,00 CHF"
/de/2016_29/kultur/,2067,1623,00:01:07,52,"38,46 %","24,33 %","0,00 CHF"
/de/2016_30/kultur/,2066,1648,00:01:25,70,"47,14 %","27,78 %","0,00 CHF"
/de/2016_31/basel/725478,2035,1812,00:02:46,801,"81,90 %","53,27 %","0,00 CHF"
/de/2016_31/kultur/,2017,1646,00:01:23,53,"35,85 %","27,71 %","0,00 CHF"
/de/2016_31/basel/725458,2003,1861,00:02:21,1228,"83,79 %","63,21 %","0,00 CHF"
/de/2016_29/sport/724853,1997,1848,00:03:50,563,"76,91 %","57,54 %","0,00 CHF"
/de/2016_28/international/,1954,1510,00:01:37,102,"39,22 %","25,44 %","0,00 CHF"
/de/2016_27/international/723404,1944,1794,00:04:23,1755,"90,60 %","87,65 %","0,00 CHF"
/de/2016_30/basel/725185,1943,1816,00:02:28,462,"87,01 %","49,77 %","0,00 CHF"
/de/2015_02/basel/677635,1938,1586,00:04:46,1503,"78,51 %","74,87 %","0,00 CHF"
/de/2016_31/sport/725826,1930,1832,00:03:30,1228,"90,31 %","73,73 %","0,00 CHF"
/de/2014_31/basel/665288,1906,1637,00:05:41,1537,"83,08 %","79,80 %","0,00 CHF"
/de/2016_29/kultur/724666,1885,1734,00:03:33,1042,"83,21 %","66,68 %","0,00 CHF"
/de/2016_30/sport/725310,1885,1735,00:03:31,245,"67,35 %","49,60 %","0,00 CHF"
/de/blogs/bildstoff/724888,1880,1678,00:03:25,590,"78,14 %","50,59 %","0,00 CHF"
/de/2016_29/basel/724682,1831,1678,00:03:10,1011,"82,89 %","64,39 %","0,00 CHF"
/de/2016_28/basel/723795,1812,1625,00:01:53,488,"77,66 %","45,81 %","0,00 CHF"
/de/2016_31/sport/725508,1792,1697,00:06:03,513,"83,43 %","59,71 %","0,00 CHF"
/de/2014_34/basel/666835,1780,1687,00:04:29,1444,"92,59 %","88,03 %","0,00 CHF"
/de/2016_29/sport/724672,1768,1626,00:02:39,764,"82,33 %","60,52 %","0,00 CHF"
/de/2014_29/dialog/,1753,258,00:05:11,252,"19,05 %","11,12 %","0,00 CHF"
/de/2016_30/basel/725196,1748,1602,00:03:36,675,"72,74 %","53,89 %","0,00 CHF"
/de/2016_30/sport/725058,1712,1610,00:04:38,372,"85,48 %","59,75 %","0,00 CHF"
/de/2016_28/sport/724057,1691,1607,00:05:19,1285,"92,06 %","83,44 %","0,00 CHF"
/de/2016_29/leben/724638,1679,1557,00:03:59,1135,"86,96 %","75,58 %","0,00 CHF"
/de/2016_27/sport/723622,1676,1573,00:02:36,938,"86,57 %","68,97 %","0,00 CHF"
/de/2016_30/basel/725046,1660,1580,00:02:43,1130,"90,71 %","72,89 %","0,00 CHF"
/de/2014_46/leben/672669,1641,1452,00:04:14,1447,"87,08 %","84,83 %","0,00 CHF"
/de/2016_27/sport/723750,1634,1523,00:04:32,1003,"85,74 %","71,11 %","0,00 CHF"
/de/2016_29/basel/724792,1622,1488,00:04:03,478,"77,41 %","51,29 %","0,00 CHF"
