,topic_id,count,pageviews,average,level0,level1,level2,level3,title
82,176,97,83196,857.6907216494845,_Länder,Nordamerika,USA,,USA
83,303,97,42664,439.83505154639175,Energie,,,,Energie
84,265,96,61211,637.6145833333334,Unglücksfälle und Verbrechen,Terrorismus,,,Terrorismus
85,233,95,30139,317.2526315789474,Wissenschaft,,,,Wissenschaft
86,507,94,50489,537.1170212765958,Gesellschaft,Familie,,,Familie
87,475,91,86260,947.9120879120879,Wirtschaft,Tourismus,,,Tourismus
88,211,90,67223,746.9222222222222,Kultur,Architektur,,,Architektur
89,289,89,78682,884.0674157303371,Politik,_Themen,Migration,Integration,Integration
90,819,88,51541,585.6931818181819,Theater Basel,,,,Theater Basel
91,237,84,45010,535.8333333333334,Verkehr,Öffentlicher Verkehr,BVB,,BVB
92,174,84,63034,750.4047619047619,_Länder,Europa,Deutschland,,Deutschland
93,476,84,31358,373.3095238095238,Lokales,Fasnacht,,,Fasnacht
94,465,83,36587,440.8072289156627,Politik,_Themen,Gesundheitswesen,,Gesundheitswesen
95,328,83,73836,889.5903614457832,Politik,_Organe,Nationalrat,,Nationalrat
96,822,82,58018,707.5365853658536,Stadtleben,,,,Stadtleben
97,274,82,54599,665.8414634146342,Gesellschaft,Medizin,,,Medizin
98,442,80,48916,611.45,Wirtschaft,Arbeitsmarkt,,,Arbeitsmarkt
99,278,80,41066,513.325,Wirtschaft,Pharmaindustrie,,,Pharmaindustrie
100,249,79,36367,460.34177215189874,Wirtschaft,Finanzwirtschaft,,,Finanzwirtschaft
101,611,78,58602,751.3076923076923,Medien,Fernsehen,,,Fernsehen
102,227,78,90007,1153.9358974358975,_Länder,Naher Osten,Syrien,,Syrien
103,362,77,94681,1229.6233766233765,Medien,Journalismus,,,Journalismus
104,782,76,67941,893.9605263157895,Kultur,Museen,Kunstmuseum,,Kunstmuseum
105,41,75,45967,612.8933333333333,Veranstaltung,Musik Veranstaltung,,,Musik Veranstaltung
106,38,75,41030,547.0666666666667,Veranstaltung,Theater Veranstaltung,,,Theater Veranstaltung
107,158,74,34881,471.36486486486484,Politik,_Organe,Bundesrat,,Bundesrat
108,225,74,64432,870.7027027027027,_Länder,Europa,Italien,,Italien
109,230,73,39818,545.4520547945206,Kultur,Design,,,Design
110,235,72,43394,602.6944444444445,Verkehr,Öffentlicher Verkehr,SBB,,SBB
111,297,71,67589,951.9577464788732,Wirtschaft,Steuern,,,Steuern
112,9,71,52370,737.6056338028169,Veranstaltung,,,,Veranstaltung
113,554,71,36333,511.7323943661972,Wirtschaft,Detailhandel,,,Detailhandel
114,181,70,62823,897.4714285714285,Politik,_Parteien,SP,,SP
115,626,69,45804,663.8260869565217,Unglücksfälle und Verbrechen,Kriminalität,,,Kriminalität
116,153,68,27516,404.6470588235294,Wirtschaft,Banken,,,Banken
117,232,68,31090,457.20588235294116,_Länder,Europa,Russland,,Russland
118,430,67,43117,643.5373134328358,Kultur,Messen,,,Messen
119,433,67,25561,381.5074626865672,Politik,_Themen,Armee,,Armee
120,588,67,40043,597.6567164179105,Kultur,Tanz,,,Tanz
121,327,66,18889,286.1969696969697,Politik,_Organe,Regierungsrat BL,,Regierungsrat BL
122,637,66,58422,885.1818181818181,Sport,Fussball,Schweizer Cup,,Schweizer Cup
123,42,65,47860,736.3076923076923,Veranstaltung,Konzert Veranstaltung,,,Konzert Veranstaltung
124,6,65,65743,1011.4307692307692,_Länder,Europa,,,Europa
125,625,65,37787,581.3384615384615,Gesellschaft,Gleichstellung,,,Gleichstellung
126,848,64,29209,456.390625,Forschung,,,,Forschung
127,775,63,78143,1240.3650793650793,Gesellschaft,Rassismus,,,Rassismus
128,456,62,28595,461.2096774193548,Energie,Atomkraft,,,Atomkraft
129,763,62,49285,794.9193548387096,Kultur,Messen,Art Basel,,Art Basel
130,739,61,42558,697.672131147541,Kultur,Kreativwirtschaft,,,Kreativwirtschaft
131,593,61,87069,1427.360655737705,_Personen,Baschi Dürr,,,Baschi Dürr
132,283,61,22884,375.1475409836066,Gesellschaft,Humor,,,Humor
133,930,60,40498,674.9666666666667,Kultur,Nachtgang,,,Nachtgang
134,725,58,45105,777.6724137931035,Digital,Datenschutz,,,Datenschutz
135,357,58,34988,603.2413793103449,Medien,TagesWoche,,,TagesWoche
136,773,57,28397,498.1929824561403,_Quartiere,Innenstadt,,,Innenstadt
137,410,57,46735,819.9122807017544,Gesellschaft,Überwachung,,,Überwachung
138,494,57,34867,611.7017543859649,Lokales,Kaserne Basel,,,Kaserne Basel
139,474,56,50208,896.5714285714286,Politik,_Themen,Sozialwesen,,Sozialwesen
140,745,56,18141,323.94642857142856,_Firmen,Messe Basel,,,Messe Basel
141,101,55,39487,717.9454545454546,Region der Schweiz,Kanton Basel-Landschaft,,,Kanton Basel-Landschaft
142,1029,55,106325,1933.1818181818182,Politik,Abstimmungen & Wahlen,Wahlen BS 2016,Grossratswahlen,Grossratswahlen
143,561,54,9854,182.4814814814815,_Zeitgeschichte,,,,_Zeitgeschichte
144,204,54,10628,196.8148148148148,Politik,_Organe,Landrat BL,,Landrat BL
145,555,54,32039,593.3148148148148,Kultur,Kinder,,,Kinder
146,634,54,68894,1275.8148148148148,Medien,Soziale Medien,,,Soziale Medien
147,758,53,33674,635.3584905660377,Digital,Games,,,Games
148,495,53,9394,177.24528301886792,Unglücksfälle und Verbrechen,,,,Unglücksfälle und Verbrechen
149,402,53,72925,1375.9433962264152,Sport,Fussball,Young Boys Bern,,Young Boys Bern
150,424,52,8601,165.40384615384616,Sport,Ski alpin,,,Ski alpin
151,403,52,31091,597.9038461538462,Sport,Fussball,FC Zürich,,FC Zürich
152,296,51,39301,770.6078431372549,_Länder,Europa,Grossbritannien,,Grossbritannien
153,831,51,30253,593.1960784313726,Zwischennutzung,,,,Zwischennutzung
154,337,50,22150,443.0,Bildung,Universitäten,,,Universitäten
155,845,50,17773,355.46,Esskultur,,,,Esskultur
156,282,50,31846,636.92,Gesellschaft,Menschenrechte,,,Menschenrechte
157,622,50,39608,792.16,Lifestyle,Mode,,,Mode
158,1002,49,113856,2323.591836734694,Politik,Abstimmungen & Wahlen,Abstimmungen 28. Februar 2016,,Abstimmungen 28. Februar 2016
159,755,49,31381,640.4285714285714,Wirtschaft,Technologie,,,Technologie
160,742,49,48507,989.9387755102041,Sport,Fanverhalten,,,Fanverhalten
161,530,49,13215,269.6938775510204,Lokales,Zoo Basel,,,Zoo Basel
162,272,48,33769,703.5208333333334,Gesellschaft,Bewegungen,,,Bewegungen
163,184,48,36657,763.6875,Politik,_Parteien,Grüne,,Grüne
164,305,48,15154,315.7083333333333,Politik,Gewerkschaften,,,Gewerkschaften
165,148,47,40159,854.4468085106383,_Firmen,Roche,,,Roche
166,407,47,39769,846.1489361702128,Sport,Fussball,Grasshoppers Zürich,,Grasshoppers Zürich
167,627,47,12614,268.3829787234043,Wirtschaft,Landwirtschaft,,,Landwirtschaft
168,205,47,29912,636.4255319148937,_Länder,Europa,Griechenland,,Griechenland
