Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert
/de/2016_39/schweiz/,2553,1929,00:01:26,111,"46,85 %","23,03 %","0,00 CHF"
/de/2016_37/basel/729147,2529,2308,00:03:20,1566,"87,48 %","70,26 %","0,00 CHF"
/de/2016_39/basel/730397,2529,2399,00:03:01,1888,"86,55 %","75,05 %","0,00 CHF"
/de/2016_38/international/,2519,1878,00:01:08,99,"33,33 %","22,95 %","0,00 CHF"
/de/2016_37/sport/729486,2516,2342,00:04:33,1038,"84,30 %","64,47 %","0,00 CHF"
/de/2016_40/schweiz/,2499,1761,00:01:12,59,"47,46 %","18,33 %","0,00 CHF"
/de/2016_39/sport/730732,2489,2340,00:05:00,1503,"89,82 %","74,85 %","0,00 CHF"
/de/2016_39/kultur/730296,2485,2305,00:04:04,1742,"91,68 %","78,79 %","0,00 CHF"
/de/2016_40/sport/730922,2448,2296,00:03:46,1618,"91,84 %","76,02 %","0,00 CHF"
/de/2014_28/basel/664044,2434,2170,00:05:22,2080,"86,73 %","84,18 %","0,00 CHF"
/de/2016_37/basel/729301,2420,2249,00:02:21,1806,"87,76 %","75,66 %","0,00 CHF"
/de/2014_29/dialog/,2417,288,00:04:15,282,"19,86 %","10,72 %","0,00 CHF"
/de/2016_39/sport/730432,2406,2235,00:03:43,774,"84,24 %","57,86 %","0,00 CHF"
/de/2016_37/leben/729433,2372,2169,00:06:04,1331,"84,15 %","70,11 %","0,00 CHF"
/de/2016_38/schweiz/730209,2364,2182,00:03:25,1750,"87,66 %","75,76 %","0,00 CHF"
/de/2016_37/basel/729127,2333,2162,00:03:44,1321,"89,93 %","67,77 %","0,00 CHF"
/de/2016_37/basel/729193,2323,2043,00:02:50,579,"76,17 %","43,48 %","0,00 CHF"
/de/2016_39/sport/730289,2302,2194,00:03:41,847,"89,85 %","64,81 %","0,00 CHF"
/de/2016_37/basel/729310,2287,1948,00:03:13,1344,"88,69 %","67,60 %","0,00 CHF"
/de/2016_36/basel/728924,2256,2145,00:02:59,1104,"79,44 %","57,54 %","0,00 CHF"
/de/2016_37/schweiz/729385,2229,2085,00:03:05,1936,"90,39 %","86,59 %","0,00 CHF"
/de/2016_39/kultur/730396,2218,2065,00:04:51,1554,"89,19 %","75,52 %","0,00 CHF"
/de/2013_51/kultur/,2199,20,00:10:16,20,"10,00 %","0,91 %","0,00 CHF"
/de/2016_37/kultur/,2198,1695,00:01:04,79,"35,44 %","24,20 %","0,00 CHF"
/de/2016_40/sport/731151,2197,1980,00:06:04,620,"82,10 %","60,22 %","0,00 CHF"
/de/2016_38/basel/729899,2192,2051,00:01:58,1337,"78,09 %","60,58 %","0,00 CHF"
/wetter,2181,2025,00:02:48,292,"60,27 %","58,87 %","0,00 CHF"
/de/2016_38/international/729911,2171,2053,00:04:16,1911,"89,90 %","86,04 %","0,00 CHF"
/de/2016_37/sport/729483,2155,1667,00:05:03,373,"70,78 %","50,72 %","0,00 CHF"
/de/2016_40/basel/730914,2131,1948,00:02:49,708,"64,55 %","45,00 %","0,00 CHF"
/de/2016_38/sport/729930,2122,1976,00:04:45,911,"83,32 %","62,96 %","0,00 CHF"
/de/blogs/bildstoff/730003,2120,2004,00:03:40,1619,"92,84 %","82,41 %","0,00 CHF"
/de/2016_35/kultur/728136,2116,2017,00:03:51,1846,"92,25 %","87,33 %","0,00 CHF"
/de/2016_39/basel/730429,2114,1979,00:03:25,1660,"91,08 %","81,27 %","0,00 CHF"
/de/2016_38/leben/729939,2106,1970,00:03:49,1743,"90,71 %","84,43 %","0,00 CHF"
/de/2016_39/schweiz/730334,1982,1896,00:04:45,1585,"93,38 %","84,61 %","0,00 CHF"
/de/2016_14/kultur/715465,1977,1838,00:04:16,1815,"91,13 %","89,48 %","0,00 CHF"
/de/2016_39/basel/730428,1975,1843,00:02:47,1567,"88,07 %","78,28 %","0,00 CHF"
/de/2016_37/leben/729142,1968,1850,00:03:06,989,"85,95 %","64,48 %","0,00 CHF"
/de/2016_37/basel/729099,1953,1760,00:04:22,899,"79,20 %","58,17 %","0,00 CHF"
/de/2016_37/international/,1948,1483,00:01:35,82,"48,78 %","27,36 %","0,00 CHF"
/de/2016_37/basel/729041,1942,1834,00:04:25,1278,"91,31 %","75,03 %","0,00 CHF"
/de/blogs/mittendrin/729136,1937,1814,00:01:53,1017,"79,94 %","57,87 %","0,00 CHF"
/de/2016_40/sport/730828,1936,1820,00:04:36,1262,"89,86 %","76,60 %","0,00 CHF"
/de/2016_40/sport/731131,1932,1803,00:03:19,966,"87,99 %","65,42 %","0,00 CHF"
/de/2016_39/kultur/,1929,1512,00:01:20,67,"34,33 %","27,79 %","0,00 CHF"
/de/2015_02/basel/677635,1927,1607,00:04:05,1525,"80,39 %","77,32 %","0,00 CHF"
/de/2016_36/sport/728627,1912,1755,00:04:34,528,"84,28 %","60,46 %","0,00 CHF"
/de/2016_37/sport/729378,1899,1806,00:03:28,678,"83,92 %","66,09 %","0,00 CHF"
/de/2016_36/schweiz/,1894,1390,00:01:05,93,"46,24 %","21,17 %","0,00 CHF"
/de/2016_39/basel/730325,1875,1760,00:03:46,1452,"91,25 %","80,96 %","0,00 CHF"
/de/2016_40/basel/730783,1863,1670,00:03:09,926,"80,35 %","62,96 %","0,00 CHF"
/de/2016_38/leben/729925,1850,1714,00:04:33,1324,"88,07 %","76,76 %","0,00 CHF"
/de/2016_40/kultur/,1849,1452,00:01:10,41,"41,46 %","23,42 %","0,00 CHF"
/de/2016_36/sport/728855,1838,1750,00:03:18,1183,"92,05 %","77,26 %","0,00 CHF"
/de/2016_38/kultur/729601,1829,1733,00:03:21,1254,"91,79 %","75,89 %","0,00 CHF"
/de/2016_36/sport/728842,1826,1721,00:02:11,349,"82,52 %","45,07 %","0,00 CHF"
/de/2016_38/sport/729827,1788,1674,00:04:47,587,"87,05 %","63,48 %","0,00 CHF"
/de/blogs/360grad/730524,1784,1686,00:04:03,1631,"92,58 %","89,85 %","0,00 CHF"
