,article_id,published,type
198,730803.0,2016-09-27,news
199,730218.0,2016-09-26,news
200,730271.0,2016-09-20,news
201,730534.0,2016-09-23,news
202,727956.0,2016-09-01,news
203,730612.0,2016-09-23,newswire
204,730300.0,2016-09-25,news
205,728498.0,2016-08-31,news
206,728869.0,2016-09-06,news
207,730570.0,2016-09-23,news
208,728728.0,2016-09-01,news
209,729815.0,2016-09-14,news
210,730903.0,2016-09-28,news
211,469385.0,2012-10-10,news
212,730896.0,2016-09-28,news
213,730906.0,2016-09-27,news
214,730969.0,2016-09-29,news
215,728705.0,2016-09-01,news
216,729018.0,2016-09-05,newswire
217,730149.0,2016-09-18,news
218,730784.0,2016-09-26,newswire
219,730406.0,2016-09-26,news
220,729615.0,2016-09-12,news
221,729646.0,2016-09-13,news
222,729976.0,2016-09-16,news
223,730866.0,2016-09-27,news
224,730330.0,2016-09-23,news
225,728025.0,2016-09-11,news
226,729285.0,2016-09-08,news
227,730385.0,2016-09-21,news
228,729216.0,2016-09-07,news
229,730323.0,2016-09-22,news
230,730230.0,2016-09-19,news
231,688737.0,2015-05-26,news
232,730008.0,2016-09-17,news
233,729808.0,2016-09-14,news
234,729307.0,2016-09-12,news
235,729152.0,2016-09-08,news
236,730455.0,2016-09-21,news
237,730078.0,2016-09-17,news
238,730897.0,2016-09-27,newswire
239,730979.0,2016-09-29,news
240,728655.0,2016-09-01,news
241,729712.0,2016-09-13,newswire
242,729487.0,2016-09-10,news
243,730565.0,2016-09-23,news
244,729719.0,2016-09-13,news
245,728561.0,2016-09-01,news
246,730924.0,2016-09-28,news
247,713193.0,2016-03-03,news
248,730101.0,2016-09-17,news
249,728836.0,2016-09-07,news
250,730819.0,2016-09-26,newswire
251,729848.0,2016-09-14,newswire
252,729893.0,2016-09-15,news
253,727581.0,2016-08-19,news
254,730621.0,2016-09-25,news
255,729856.0,2016-09-18,news
256,730417.0,2016-09-22,news
257,485506.0,2012-11-29,news
258,729756.0,2016-09-14,news
259,730096.0,2016-09-18,news
260,730780.0,2016-09-26,news
261,730602.0,2016-09-24,news
262,730997.0,2016-09-28,news
263,729715.0,2016-09-17,news
264,730286.0,2016-09-21,news
265,730287.0,2016-09-24,news
266,729170.0,2016-09-07,newswire
267,728861.0,2016-09-04,news
268,729943.0,2016-09-15,news
269,681350.0,2015-02-24,news
270,729293.0,2016-09-08,newswire
271,729244.0,2016-09-09,news
272,728966.0,2016-09-05,news
273,730885.0,2016-09-27,news
274,728494.0,2016-08-31,news
275,729840.0,2016-09-14,news
276,729086.0,2016-09-06,news
277,730187.0,2016-09-19,news
278,728725.0,2016-09-01,newswire
279,729944.0,2016-09-17,news
280,730037.0,2016-09-20,news
281,730908.0,2016-09-28,news
282,731022.0,2016-09-29,news
283,729009.0,2016-09-05,news
284,730786.0,2016-09-26,news
285,730329.0,2016-09-23,news
286,730545.0,2016-09-22,newswire
287,730975.0,2016-09-28,news
288,690411.0,2015-06-13,news
289,717511.0,2016-04-23,news
290,715628.0,2016-04-03,news
291,728672.0,2016-09-05,news
292,728841.0,2016-09-02,newswire
293,729606.0,2016-09-12,news
294,729419.0,2016-09-10,news
295,728870.0,2016-09-02,news
296,729325.0,2016-09-08,news
297,729710.0,2016-09-18,news
298,665467.0,2014-08-09,news
299,729921.0,2016-09-15,newswire
300,728545.0,2016-09-28,news
301,728523.0,2016-08-30,news
302,730380.0,2016-09-21,news
303,729605.0,2016-09-19,news
304,729013.0,2016-09-05,news
305,728002.0,2016-08-28,news
306,700059.0,2015-10-02,news
307,731121.0,2016-09-29,news
308,728859.0,2016-09-03,news
309,729753.0,2016-09-15,news
310,729683.0,2016-09-13,newswire
311,727931.0,2016-08-23,news
312,721953.0,2016-06-14,news
313,729470.0,2016-09-10,news
314,731081.0,2016-09-29,news
315,729696.0,2016-09-13,news
316,728953.0,2016-09-04,newswire
317,728814.0,2016-09-02,news
318,729025.0,2016-09-05,newswire
319,728736.0,2016-09-01,newswire
320,729918.0,2016-09-19,news
321,730775.0,2016-09-26,newswire
322,726700.0,2016-08-23,news
323,713146.0,2016-03-07,news
324,537768.0,2013-04-30,news
325,730199.0,2016-09-19,news
326,730302.0,2016-09-24,news
327,730791.0,2016-09-26,news
328,729239.0,2016-09-09,news
329,729735.0,2016-09-13,newswire
330,728529.0,2016-08-30,news
331,728911.0,2016-09-03,newswire
332,730299.0,2016-09-21,news
333,729130.0,2016-09-06,news
334,728437.0,2016-08-30,news
335,587799.0,2013-10-07,news
336,626805.0,2014-01-16,news
337,729997.0,2016-09-16,news
338,731082.0,2016-09-29,news
339,728824.0,2016-09-02,newswire
340,730868.0,2016-09-27,news
341,728781.0,2016-09-01,newswire
342,729053.0,2016-09-05,newswire
343,730574.0,2016-09-24,news
344,728696.0,2016-09-01,news
345,729228.0,2016-09-11,news
346,730595.0,2016-09-23,newswire
347,726139.0,2016-08-05,news
348,728134.0,2016-09-03,news
349,730995.0,2016-09-28,newswire
350,730915.0,2016-09-27,newswire
351,729391.0,2016-09-09,news
352,669021.0,2014-09-28,news
353,730900.0,2016-09-27,newswire
354,730281.0,2016-09-20,news
355,730090.0,2016-09-17,newswire
356,574057.0,2013-08-30,news
357,729717.0,2016-09-13,news
358,730012.0,2016-09-16,newswire
359,720593.0,2016-05-30,news
360,704845.0,2015-11-30,news
361,727925.0,2016-08-25,news
362,728853.0,2016-09-02,newswire
363,686580.0,2015-04-28,news
364,728787.0,2016-09-01,newswire
365,730529.0,2016-09-26,news
366,729076.0,2016-09-06,newswire
367,556692.0,2013-07-02,news
368,728805.0,2016-09-02,news
369,729347.0,2016-09-08,newswire
370,727825.0,2016-08-30,news
371,488247.0,2012-12-06,news
372,728146.0,2016-08-30,news
373,722807.0,2016-06-23,news
374,729112.0,2016-09-06,newswire
375,731120.0,2016-09-30,news
376,720594.0,2016-06-02,news
377,729803.0,2016-09-14,newswire
378,481307.0,2012-11-14,news
379,611082.0,2013-11-28,news
380,729207.0,2016-09-08,news
381,730879.0,2016-09-27,newswire
382,730829.0,2016-09-26,newswire
383,693355.0,2015-07-14,news
384,729065.0,2016-09-05,newswire
385,692567.0,2015-07-06,news
386,729222.0,2016-09-07,newswire
387,730089.0,2016-09-17,newswire
388,731117.0,2016-09-29,news
389,435756.0,2012-07-13,news
390,670284.0,2014-10-12,news
391,728583.0,2016-08-31,news
392,571302.0,2013-08-24,news
393,729253.0,2016-09-08,news
394,410856.0,2012-03-30,news
395,697463.0,2015-12-25,news
396,686316.0,2015-04-27,news
397,729647.0,2016-10-29,news
398,729742.0,2016-09-13,newswire
399,730482.0,2016-09-22,newswire
400,557001.0,2013-07-03,news
401,468720.0,2012-10-12,news
402,714998.0,2016-03-26,news
403,728866.0,2016-09-02,newswire
404,728542.0,2016-08-31,news
405,729596.0,2016-09-12,news
406,728865.0,2016-09-04,news
407,730310.0,2016-09-20,newswire
408,730195.0,2016-09-19,news
409,726141.0,2016-08-15,news
410,659653.0,2014-05-28,news
411,688700.0,2015-05-22,news
412,730515.0,2016-09-23,news
413,584941.0,2013-10-03,news
414,686818.0,2015-04-30,news
415,729377.0,2016-09-09,news
416,730792.0,2016-09-26,newswire
417,730244.0,2016-09-20,news
418,692306.0,2015-07-01,news
419,728974.0,2016-09-04,newswire
420,729809.0,2016-09-14,news
421,729812.0,2016-09-22,news
422,729435.0,2016-09-09,newswire
423,561113.0,2013-07-17,news
424,721614.0,2016-06-09,news
425,678431.0,2015-01-20,newswire
426,729276.0,2016-09-08,news
427,731040.0,2016-09-28,news
428,449436.0,2012-08-16,news
429,713045.0,2016-03-02,news
430,714817.0,2016-03-28,news
431,729198.0,2016-09-07,news
432,713660.0,2016-03-10,news
433,728827.0,2016-09-02,news
434,542617.0,2013-05-16,news
435,730471.0,2016-09-22,news
436,729186.0,2016-09-07,news
437,724700.0,2016-08-03,news
438,714396.0,2016-03-16,news
439,682319.0,2015-12-02,news
440,730023.0,2016-09-16,newswire
441,729589.0,2016-09-12,newswire
442,728408.0,2016-08-30,news
443,425520.0,2012-05-25,news
444,729195.0,2016-09-07,newswire
445,656822.0,2014-05-22,blog
446,728416.0,2016-08-29,news
447,730968.0,2016-09-28,newswire
448,449438.0,2012-08-17,news
449,730881.0,2016-09-27,newswire
450,649924.0,2014-03-08,news
451,660432.0,2014-06-06,news
452,729420.0,2016-09-09,newswire
453,730126.0,2016-09-18,newswire
454,728847.0,2016-09-03,news
455,729926.0,2016-09-15,newswire
456,730028.0,2016-09-16,newswire
457,730708.0,2016-09-25,newswire
458,721419.0,2016-06-12,news
459,730257.0,2016-09-19,newswire
460,727307.0,2016-08-17,news
461,673598.0,2014-11-18,news
462,718067.0,2016-04-30,news
463,730725.0,2016-09-25,newswire
464,442541.0,2012-07-26,news
465,730293.0,2016-09-20,newswire
466,728682.0,2016-09-01,newswire
467,729823.0,2016-09-14,newswire
468,730311.0,2016-09-20,newswire
469,729495.0,2016-09-10,newswire
470,731234.0,2016-09-30,newswire
471,680214.0,2015-02-10,news
472,727597.0,2016-08-19,news
473,728492.0,2016-09-01,news
474,676366.0,2014-12-26,news
475,728097.0,2016-08-25,news
476,728752.0,2016-09-01,newswire
477,666652.0,2014-08-25,news
478,726946.0,2016-08-12,news
479,730506.0,2016-09-22,newswire
480,727993.0,2016-08-24,news
481,730032.0,2016-09-16,newswire
482,529953.0,2013-04-08,news
483,728718.0,2016-09-01,news
484,680984.0,2015-02-22,news
485,729108.0,2016-09-06,newswire
486,647258.0,2014-03-06,news
487,701798.0,2015-10-27,news
488,670979.0,2014-10-19,news
489,730576.0,2016-09-23,newswire
490,728998.0,2016-09-05,newswire
491,729003.0,2016-09-05,newswire
492,719726.0,2016-05-19,news
493,723646.0,2016-07-01,news
494,729374.0,2016-09-09,news
495,686612.0,2015-04-30,news
496,722455.0,2016-06-18,news
497,725295.0,2016-07-22,news
498,727406.0,2016-08-18,news
499,728968.0,2016-09-05,news
500,703586.0,2015-11-17,news
501,730320.0,2016-09-20,newswire
502,726638.0,2016-08-11,news
503,729972.0,2016-09-15,newswire
504,675766.0,2014-12-13,news
505,705940.0,2015-12-10,news
506,560836.0,2013-07-16,news
507,569747.0,2013-08-15,news
508,435794.0,2012-07-09,news
509,723209.0,2016-06-27,news
510,728029.0,2016-08-25,news
511,729515.0,2016-09-10,newswire
512,666835.0,2014-08-29,news
513,726645.0,2016-11-17,news
514,554069.0,2013-06-24,news
515,728211.0,2016-08-27,news
516,729754.0,2016-09-13,newswire
517,730521.0,2016-09-22,news
518,730973.0,2016-09-28,news
519,719081.0,2016-05-17,news
520,677857.0,2015-01-14,news
521,723564.0,2016-07-01,news
522,725703.0,2016-07-29,news
523,730899.0,2016-09-27,newswire
524,659510.0,2014-05-30,news
525,686403.0,2015-04-25,news
526,725831.0,2016-07-31,news
527,728979.0,2016-09-04,newswire
528,728943.0,2016-09-04,newswire
529,678694.0,2015-01-26,news
530,729295.0,2016-09-08,newswire
531,666379.0,2014-08-22,news
532,730996.0,2016-09-28,newswire
533,571615.0,2013-08-22,news
534,516444.0,2013-02-27,news
535,729402.0,2016-09-09,newswire
536,729814.0,2016-09-14,news
537,668105.0,2014-09-14,news
538,728904.0,2016-09-03,newswire
539,729020.0,2016-09-05,newswire
540,730254.0,2016-09-19,newswire
541,728982.0,2016-09-04,newswire
542,696254.0,2015-08-18,news
543,729641.0,2016-09-12,newswire
544,729616.0,2016-09-12,news
545,729671.0,2016-09-12,newswire
546,729658.0,2016-09-12,newswire
547,713839.0,2016-03-12,news
548,728995.0,2016-09-05,newswire
549,729225.0,2016-09-07,newswire
550,715515.0,2016-04-01,news
551,724157.0,2016-07-20,news
552,729813.0,2016-09-14,newswire
553,731000.0,2016-09-28,newswire
554,680466.0,2015-02-12,news
555,729859.0,2016-09-14,newswire
556,730833.0,2016-09-26,newswire
557,699085.0,2015-09-21,news
558,730022.0,2016-09-16,newswire
559,704524.0,2015-11-24,news
560,729115.0,2016-09-06,newswire
561,730447.0,2016-09-21,newswire
562,673687.0,2014-11-20,news
563,728940.0,2016-09-04,newswire
564,433223.0,2012-06-27,news
565,576008.0,2013-09-04,news
566,725802.0,2016-08-08,news
