,url,share_count
48,http://www.tageswoche.ch/de/2016_23/kultur/720961/bufo-makmal-die-taenzerinnen-lockern-den-knaeuel.htm,18
49,http://www.tageswoche.ch/de/2016_23/kultur/720962/im-tanz-mit-dem-computerprogramm.htm,115
50,http://www.tageswoche.ch/de/2016_23/basel/721003/tuerme-affen-feuer-im-dach.htm,4
51,http://www.tageswoche.ch/de/2016_23/basel/721017/vor-25-jahren-begannen-die-junkies-vom-rhein-in-gassenzimmern-zu-verschwinden.htm,151
52,http://www.tageswoche.ch/de/2016_23/schweiz/721022/das-gute-geschaeft-mit-den-besten-nationalitaeten.htm,13
53,http://www.tageswoche.ch/de/2016_23/schweiz/721033/abstimmungen-alle-fakten-alle-resultate-in-der-uebersicht.htm,11
54,http://www.tageswoche.ch/de/2016_23/international/721035/voelkermord-ist-voelkermord-aber-warum-ausgerechnet-jetzt.htm,1
55,http://www.tageswoche.ch/de/2016_23/basel/721043/hast-du-die-haesli-gesehen-unterwegs-auf-dem-neuen-spazierweg.htm,7
56,http://www.tageswoche.ch/de/2016_23/kultur/721045/die-beginner-melden-sich-und-die-hamburger-rapszene-zurueck.htm,16
57,http://www.tageswoche.ch/de/2016_23/sport/721049/36-partien-in-der-gruppenphase-ja-aber-diese-sollten-sie-wirklich-nicht-verpassen.htm,12
58,http://www.tageswoche.ch/de/2016_23/basel/721050/ueberall-diese-vaeter-jetzt-auch-noch-in-basel.htm,65
59,http://www.tageswoche.ch/de/2016_23/schweiz/721051/nach-der-feier-die-ernuechterung-der-tunnel-bringt-basel-nicht-so-viel.htm,13
60,http://www.tageswoche.ch/de/2016_23/sport/721110/boxlegende-muhammad-ali-ist-tot.htm,30
61,http://www.tageswoche.ch/de/2016_23/sport/721128/sieg-zu-knapp-stimmung-gut-die-nati-schliesst-ihre-em-vorbereitung-ab.htm,4
62,http://www.tageswoche.ch/de/2016_23/sport/721161/mach-s-gut-muhammad-ali.htm,132
63,http://www.tageswoche.ch/de/2016_23/basel/721173/wenig-ueberraschendes-in-den-beiden-basel-brutschin-hat-am-meisten-glueck-gehabt.htm,16
64,http://www.tageswoche.ch/de/2016_23/basel/721174/jetzt-muss-gschwind-den-marschhalt-abbrechen.htm,43
65,http://www.tageswoche.ch/de/2016_23/basel/721181/nach-dem-ja-zur-uni-pensionskasse-folgt-das-feilschen-um-die-uni-und-kultur-partnerschaft.htm,1
66,http://www.tageswoche.ch/de/2016_23/schweiz/721193/die-drei-erkenntnisse-dieses-sonntages.htm,5
67,http://www.tageswoche.ch/de/2016_23/schweiz/721204/genug-der-parolen-die-svp-verliert-in-ihrem-kerndossier.htm,7
68,http://www.tageswoche.ch/de/2016_23/basel/721213/23-prozent-das-ist-keine-utopie-mehr.htm,1167
69,http://www.tageswoche.ch/de/2016_24/basel/721249/ein-haus-als-gradmesser-ein-nazi-und-pinke-gartenzwerge.htm,3
70,http://www.tageswoche.ch/de/2016_24/basel/721251/vom-ruemelinsplatz-um-die-welt-das-bedingungslose-grundeinkommen-in-den-medien.htm,0
71,http://www.tageswoche.ch/de/2016_24/kultur/721256/der-soul-on-top-tanzmeister-lueftet-seinen-zylinder.htm,66
72,http://www.tageswoche.ch/de/2016_24/basel/721269/sind-die-wohnungen-knapp-darf-die-miete-jetzt-angefochten-werden.htm,35
73,http://www.tageswoche.ch/de/pages/teaser/721288/zwei-abendvorstellungen-mehr-einsprache-gegen-basel-tattoo-2016-abgewiesen.htm,0
74,http://www.tageswoche.ch/de/2016_24/sport/721289/ich-riskiere-nicht-gesundheit-und-karriere-fuer-irgendeinen-rekord.htm,3
75,http://www.tageswoche.ch/de/2016_24/kultur/721291/da-geht-was-in-basels-galerien.htm,46
76,http://www.tageswoche.ch/de/2016_24/basel/721292/feuer-im-dach-sollen-hausbesitzer-mehr-steuern-bezahlen.htm,9
77,http://www.tageswoche.ch/de/2016_24/kultur/721301/bevor-die-mauern-fallen-faellt-dieses-haus-zum-ersten-mal-auf.htm,84
78,http://www.tageswoche.ch/de/2016_24/schweiz/721307/wer-hat-die-schweiz-gebaut-nachbetrachtungen-zur-eroeffnungsfeier-der-neat.htm,32
79,http://www.tageswoche.ch/de/2016_24/basel/721355/hornissen-spritzen-ein-neuer-kantoenli-knatsch-und-die-uni-basel-trauert.htm,2
80,http://www.tageswoche.ch/de/2016_24/kultur/721360/farbige-formen-tanzen-ueber-den-messeplatz.htm,7
81,http://www.tageswoche.ch/de/2016_24/basel/721365/schande-schande-zwei-millionen-tonnen-food-waste-sind-zu-viel.htm,43
82,http://www.tageswoche.ch/de/2016_24/basel/721379/welches-land-wollen-wir-sein-flavia-kleiner-antwortet.htm,28
83,http://www.tageswoche.ch/de/2016_24/basel/721383/nicht-ganz-gesetzeskonform-kommt-uber-in-basel-unter-die-raeder.htm,58
84,http://www.tageswoche.ch/de/2016_24/sport/721389/italien-schickt-das-vielleicht-talentfreieste-team-seit-menschengedenken.htm,3
85,http://www.tageswoche.ch/de/2016_24/basel/721391/basler-regierung-will-die-mehrwertabgabe-flexibler-einsetzen-koennen.htm,11
86,http://www.tageswoche.ch/de/2016_24/kultur/721397/happy-birthday-i-never-read.htm,62
87,http://www.tageswoche.ch/de/2016_24/kultur/721419/popscheisse-ist-crack-fuers-volk.htm,693
88,http://www.tageswoche.ch/de/2016_24/basel/721431/neue-sitzgelegenheit-fuer-den-ruemelinsplatz-wir-haetten-auch-ein-paar-ideen-zur-verschoenerung.htm,23
89,http://www.tageswoche.ch/de/2016_24/basel/721448/gesucht-ideen-zur-migrationspolitik-aus-der-basler-bevoelkerung.htm,63
90,http://www.tageswoche.ch/de/2016_24/basel/721457/verkehrte-zweirad-welt-im-grossen-rat-linke-gegen-ausbau-von-abstellplaetzen.htm,0
91,http://www.tageswoche.ch/de/2016_24/basel/721458/der-neue-tageswoche-sack-ist-da.htm,3
92,http://www.tageswoche.ch/de/2016_24/kultur/721461/die-dinosaurier-kommen.htm,4
93,http://www.tageswoche.ch/de/2016_24/basel/721462/basler-jugendliche-spielen-mit-asylsuchenden-und-finden-so-den-weg-zu-sich-selbst.htm,24
94,http://www.tageswoche.ch/de/2016_24/basel/721465/der-heimatschutz-kann-aufatmen.htm,0
95,http://www.tageswoche.ch/de/2016_24/basel/721470/gravierende-maengel-bei-basler-aemtern.htm,9
96,http://www.tageswoche.ch/de/2016_24/basel/721473/ueberfall-auf-einen-gangster-rapper-und-keine-pappteller.htm,2
97,http://www.tageswoche.ch/de/2016_24/kultur/721477/verzweifelte-sinnsuche-im-schaulager.htm,5
98,http://www.tageswoche.ch/de/2016_24/kultur/721488/woher-jemand-sein-geld-hat-interessiert-nicht.htm,43
99,http://www.tageswoche.ch/de/2016_24/basel/721496/vorsicht-bissig-diese-riesenschildkroete-braucht-ein-eigenes-terrarium.htm,23
100,http://www.tageswoche.ch/de/2016_24/sport/721507/die-albaner-bewegt-mehr-als-nur-der-ball.htm,11
101,http://www.tageswoche.ch/de/2016_24/basel/721509/bilanz-2015-mehr-passagiere-und-mehr-naechtlicher-fluglaerm.htm,4
102,http://www.tageswoche.ch/de/2016_24/basel/721511/roche-kann-sich-auf-den-basler-grossen-rat-verlassen.htm,42
103,http://www.tageswoche.ch/de/2016_24/kultur/721513/ohne-besucher-keine-ausstellung-rafael-lozano-hemmer-nimmt-das-woertlich.htm,41
104,http://www.tageswoche.ch/de/2016_24/kultur/721516/never-mind-the-derwisch-here-s-the-tanzende-heuhaufen.htm,102
105,http://www.tageswoche.ch/de/2016_24/sport/721543/allez-la-suisse-der-lackmustest-fuer-eine-spielergeneration.htm,3
106,http://www.tageswoche.ch/de/2016_24/leben/721565/als-graf-zeppelin-in-basel-landete.htm,0
107,http://www.tageswoche.ch/de/2016_24/sport/721566/mit-den-fuessen-denken-und-fuehlen-zwei-buecher-befassen-sich-philosophisch-mit-fussball.htm,2
108,http://www.tageswoche.ch/de/2016_24/basel/721579/eine-handgeschuettelte-nationalraetin-albaner-im-fieber-die-ausbauplaene-der-roche.htm,2
109,http://www.tageswoche.ch/de/2016_24/kultur/721584/sie-wollen-dampf-ablassen-ab-ins-tinguely-museum.htm,4
110,http://www.tageswoche.ch/de/2016_24/basel/721588/sind-maengel-bei-den-aemtern-normal-herr-rudin-der-datenschuetzer-im-interview.htm,3
111,http://www.tageswoche.ch/de/2016_24/kultur/721589/zwei-jahre-kaschemme-ein-randstaendiger-club-mit-grossem-herz.htm,368
112,http://www.tageswoche.ch/de/2016_24/basel/721601/noch-10-zentimeter-und-es-ist-schluss-mit-schifffahrt-auf-dem-rhein.htm,15
113,http://www.tageswoche.ch/de/2016_24/basel/721610/migration-eine-riesenchance-fuer-die-schweiz.htm,27
