,month,year,monthly_pageviews
0,1,2017,10799
1,2,2017,10176
2,3,2017,11661
3,4,2017,7857
4,5,2017,450
5,6,2016,16095
6,7,2016,11876
7,8,2016,9142
8,9,2016,8363
9,10,2016,9854
10,11,2016,11136
11,12,2016,7078
